sample	rarefaction_depth	rarefied_observed
LV3003047148	25000	398.999817312694
LV3003047149	25000	359.999997872397
LV3003047150	25000	508.975632396119
LV3003047152	25000	478.997722581118
LV3003047153	25000	541.933656653327
LV3003047154	25000	419.999858183118
LV3003047155	25000	415.99812239905
LV3003047156	25000	665.650820233911
LV3003047158	25000	371.999978520752
LV3003047159	25000	361.999998401257
LV3003047160	25000	
LV3003047161	25000	
LV3003047162	25000	
LV3003047164	25000	380.999987187251
LV3003047166	25000	537.973535443446
LV3003047167	25000	384.99998838627
LV3003047168	25000	624.728397995241
LV3003047169	25000	672.49488102263
LV3003061473	25000	163.999999999611
LV3003061474	25000	656.858567294
LV3003061475	25000	470.988240785732
LV3003061476	25000	676.566763270534
LV3003061477	25000	934.384301456143
LV3003061485	25000	906.926716532885
LV3003061486	25000	311.999974297614
LV3003061488	25000	799.620764366718
LV3003061489	25000	294.997613603621
LV3003061492	25000	1016.7356336573
LV3003061500	25000	500.774919809658
LV3003061501	25000	571.236679212992
LV3003061503	25000	759.057512688328
LV3003061504	25000	449.961359920696
LV3003061505	25000	528.858265612715
LV3003061506	25000	466.822348133438
LV3003061513	25000	346.999939981871
LV3003061514	25000	927.613953925339
LV3003061515	25000	957.932739752622
LV3003061516	25000	463.900072340232
LV3003061517	25000	852.993834537716
LV3003061518	25000	863.096189702725
LV3003061527	25000	
LV3003061528	25000	818.522927722396
LV3003061529	25000	859.662703499063
LV3003061530	25000	416.389555057906
LV3003061531	25000	915.194545837041
LV3003061533	25000	574.271642630731
LV3003061539	25000	373.998373334151
LV3003061541	25000	594.953902476749
LV3003061543	25000	796.615929428412
LV3003061544	25000	566.913147222756
LV3003061545	25000	785.856975623713
LV3003061546	25000	460.041213630799
LV3003061555	25000	99
LV3003061556	25000	538.772696107628
LV3003061557	25000	530.876297035612
LV3003061558	25000	636.186740499797
LV3003061559	25000	719.358378518614
LV3003061568	25000	
LV3003061569	25000	707.886655652417
LV3003061570	25000	593.802196507673
LV3003061571	25000	556.818540523457
LV3003061572	25000	915.438964452912
LV7001898064	25000	664.30491776634
LV7001898076	25000	1032.36412241243
LV7001898088	25000	693.608733877877
LV7001898100	25000	514.199250361032
LV7008886221	25000	471.885319065399
LV7008886222	25000	365.998601110036
LV7008886226	25000	427.245131345821
LV7008886228	25000	85
LV7008886229	25000	887.828730411484
LV7008886690	25000	301.380741175791
LV7008886692	25000	324.99988254155
LV7008886695	25000	645.157120038568
LV7008886702	25000	593.907187073716
LV7008886703	25000	748.704038261855
LV7008886704	25000	382.998977801642
LV7008886705	25000	207
