sample	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst
LV3003047161	ST8		379.5	3.88246761489537	7628	31.63	6.0432754104377	5.89954857303288	59.1	62	30	3.22311961846448	54.98346	4.3111578	6.47543092855096
LV3003047162	ST8		584.2	4.3912174832394	24615	24.03	7.28420540628884	6.35481829529252	49.7	51.8	53	3.25027453727623	102.698	3.87396	7.78994871915485
LV3003047164	ST8		339.5	5.28406735375224	192338	61.8	7.66119983187531	7.32178476225851	73.5	75.5	381	5.36862652228102	43.93302	4.4786604	8.37946113303367
LV3003047166	ST8		299.5	5.56033831209221	363360	109.28	7.67822321344316	7.16515098582543	67.1	69.9	538	5.36680330483405	38.27343	4.4482802	9.0296517958074
LV3003047167	ST8		259.5	5.28151968658108	191213	171.35	7.7423922147904	7.1535435055381	57.2	59.7	385	5.32479048232079	34.67812	4.556094	8.97459148768522
LV3003047168	ST8		214.5	5.69749785953302	498307	193.15	7.7514322658807	7.37424306115769	53.7	55.4	625	5.6285276263935	30.497	4.62	8.31168442315493
LV3003047169	ST8		174.5	5.74946267021869	561645	195.44	7.89648977490586	7.40460556660882	55.3	57.5	673	5.68762737702749	26.6703333333333	4.72362666666667	7.81462622496645
LV3003061473	ST13		219.8	5.07696795219792	119389	32.31	7.70382346267375	6.81963368046147	67	79.3	164	3.42147912005359	117.088	3.5312	13.8380743760062
LV3003061474	ST13		179.8	5.80171234048059	633449	196.45	7.79172767122205	7.56751821733182	70.5	72.6	658	5.21459367894609	77.7798	4.056606	8.28521641432076
LV3003061475	ST13		136	5.5314022700764	339939	108.69	8.05297508831583	7.47141489530218	69.7	73.6	471	5.28070860866663	53.844	4.38936	6.25962485846197
LV3003061476	ST13		96	5.72477788597632	530612	137.29	7.9247886834773	7.53438617989142	70.2	72.2	677	5.4892140348747	37.16	4.452	9.19719729556924
LV3003061477	ST13		50	6.35522099743865	2265796	301.74	8.09862755799564	7.92905972808118	67.8	70.8	978	5.46886547715788	16.726	4.84438	7.31209108888136
LV3003061485	ST13		174.8	6.20613098873069	1607425	260.72	8.02018817268353	7.78071929857696	70.5	72.6	930	5.39004938223744	75.7796	4.035756	7.95056189669746
LV3003061486	ST13		131	5.31657625643031	207288	128.79	7.44224598673612	7.30358342221931	68.7	70.3	312	4.62984373907256	52.105	4.32365	7.61349281773178
LV3003061488	ST13		91	5.95837368844164	908601	245.05	8.10463469173004	7.82176620379417	79.7	85.6	806	5.44431927593475	35.041	4.53631	9.03212528618341
LV3003061489	ST13		214.8	5.45940907507892	288010	63.7	7.58665575128882	7.2734627223932	72.6	78.6	295	3.88482623338444	112.6068	3.96932	11.8540635522199
LV3003061492	ST13		45	6.35344380617919	2256543	376.09	8.07642517975842	7.90576603440975	67.3	68	1061	5.72454821371316	14.437	4.37177	7.04807643625558
LV3003061500	ST13		254.4	5.70891950003649	511586	431.27	8.13866386516462	7.70767397710451	67.8	104.6	501	5.01688536354573	148.086	4.71344	9.56141856461617
LV3003061501	ST13		209.8	5.78053836434133	603306	182.94	7.83877559433936	7.54974745135985	65.5	68.4	572	4.62904913860665	105.5872	3.93808	8.6530138730751
LV3003061503	ST13		169.8	6.06724014951367	1167454	217.76	7.9887679119367	7.69605288825459	68.6	71.4	769	5.10528060282559	73.1472	4.20056	9.58376845577441
LV3003061504	ST13		126	5.59856071842281	396789	187.42	7.98335363780004	7.62952837157611	74.4	77.1	450	4.99036769547687	50.268	4.33732	8.96741444022863
LV3003061505	ST13		86	5.65761510115423	454584	188.85	7.91759845542965	7.66095324782461	80.4	89.7	529	5.1400833314026	32.81	4.5838	8.67840531139984
LV3003061506	ST13		40	5.68565755790552	484905	164.07	7.80338436522968	7.6821135189027	59.2	60.6	467	5.02473693220785	11.95	3.904	6.73798109507347
LV3003061513	ST13		244.8	5.32997723012551	213784	185.59	7.91332818799457	7.40856690328815	85	146.1	347	5.07662835696749	138.493	4.88014	10.3255171456423
LV3003061514	ST13		204.8	6.14379333255492	1392493	311.64	7.98116089367673	7.71269697487024	64.4	66.3	945	5.62120800692466	100.6726	3.883986	7.39288790099721
