sample	MEbrown	MEblue	MEturquoise	MEyellow	MEgrey
LV7008886727	0.186906549819693	0.233764874588822	0.127107584072929	0.0479943646927306	0.0698951230445312
LV7008886703	0.0519642639231834	0.0418742683087094	0.00808392197556413	-0.0219176239121873	-0.0136180783161202
LV7008886776	0.0512045244293104	0.0479211642789006	-0.0127211712211954	-0.0355250695887522	-0.0328821613010303
LV7008886740	0.0598390035110703	0.0103107471930838	0.00314689425358552	-0.00484711830284279	0.011753132007628
LV7008886221	-0.0298150643261144	-0.0749119237243318	-0.0603845516430021	-0.0630911833436894	-0.0330119317686693
LV7008886692	0.00322803090535053	-0.0360834919370663	0.00161181456394328	-0.00398562456139219	0.013822844294306
LV7008886765	-0.024001351635128	-0.0783922417908105	-0.0687976427497167	-0.0763945098339207	-0.0562773081356591
LV7008886741	-0.0606938394693647	0.0674613957124236	0.124766724036627	0.106573736308089	0.130929710118682
LV7008886705	-0.063414219270205	-0.016520891749851	0.0308254174660697	0.0238176094175249	0.0332774235598279
LV7008886778	-0.0333943920517926	-0.075710387161955	-0.0967213541997469	-0.0327726878964845	0.0657677733353653
LV7008886754	-0.0718020631884532	-0.0873244878316841	-0.128512884690766	-0.0334639273798036	-0.00764147471242878
LV7008886730	-0.0484090043804557	-0.0898754803162651	-0.106362229226629	-0.0952751242549328	0.0361065228030975
LV7008886706	-0.0588430215869684	-0.102839779413862	-0.119867416313053	-0.0940444947629858	0.0374247196238055
LV7008886743	-0.0777699144007672	-0.131437560050702	-0.101001875121545	-0.0862927296318953	0.0811951698748035
LV7008886719	-0.117857507893933	-0.130745786248145	-0.102319341843957	-0.0959092647921352	0.0647288594605578
LV7008886695	-0.0725882959162424	-0.128035574010681	-0.112501926043773	-0.107608903447745	0.0998498565340875
LV7008886768	-0.0828391545533441	-0.142559440756305	-0.14869839578373	-0.112769274485587	0.0452993450222594
LV7008886744	-0.10947227114432	-0.116539961213185	-0.0644295698062944	-0.0668463605779947	0.0945048962424348
LV7008886708	-0.112087089327338	-0.139828825795219	-0.0928752695648553	-0.0826462919958154	0.0805310982059682
LV7008886781	-0.104594434573216	0.0466964366870117	0.102682019258371	0.0877870832717399	0.104911071170064
LV7008886757	-0.113639877841288	0.0303527467177762	0.0855085115690321	0.0705078888940277	0.0953445110496961
LV7008886222	0.033304543995958	-0.0227231860271081	0.0119669493402814	0.00648336122582452	0.0270533583130369
LV7008886709	-0.0387407874937585	-0.0817535651861259	-0.0620370140167148	-0.0605059807092766	-0.0448622395895745
LV7008886726	0.434604729661456	0.248684936079666	0.28794893372437	0.448018531063804	0.230791669576509
LV7008886702	0.317838500952934	0.230816373351868	0.255456005673679	0.18736713629349	0.217660852049982
LV7008886763	-0.00941343524348048	0.107152760739866	0.243133978366241	0.202620282759419	0.0433586679121847
LV7008886739	0.41654740914535	0.606187821318788	0.33432355097059	0.161706139533831	0.350528836275395
LV7008886715	0.157776940385255	0.204073281852798	0.118099004919733	0.00959524578074547	0.275531123667831
LV7008886226	0.035528175649579	-0.011455840036257	0.00909672157467285	0.0119783207312979	0.0894849846182976
LV7008886752	0.170772991100158	0.0778312175189062	0.0985668837098368	0.0913168202504135	0.189060280984981
LV7008886728	0.172791107684702	0.108317818131514	0.134852213772671	0.129284577185702	0.19912913271869
LV7008886704	0.145617722565145	0.0489633878457868	0.108005515723375	0.118894244719337	0.194822083042301
LV7008886753	0.125286048986011	0.128643162761586	0.207736014147288	0.233520328487777	0.134761095965709
LV7008886717	-0.0110976980817675	-0.0565694439892237	-0.00129701782682806	-0.011710559767128	0.083031374700673
LV7008886229	-0.0677746513993657	-0.106565966454794	-0.191430187155782	-0.139467826384136	-0.0979811917531862
LV7008886766	-0.101916543894202	-0.107785748827242	-0.223812357564117	0.0132676546803574	-0.0844699007707156
LV7008886742	-0.0521981838943692	-0.0538275681258118	-0.176025413589039	-0.173510780565565	-0.00805038633551173
LV7008886718	-0.132280576095414	-0.162959419743739	-0.249385174466968	-0.281221213684648	-0.110885624347482
LV7008886755	-0.168178781986691	-0.256611380383948	-0.253531828928645	-0.275754933406079	-0.228891198473529
LV7008886731	-0.296752699158829	-0.294294701701441	-0.255361373357054	-0.298223667788306	-0.330661680084986
LV7008886707	-0.161350037159115	-0.226611317634403	-0.198833014813725	-0.24304394765146	-0.276966795989619
LV7008886780	-0.114186026392373	-0.169506807299198	-0.260213232547377	-0.249315919061713	-0.120398337246821
LV7008886756	-0.11225781211423	-0.184724523007155	-0.131425758718445	-0.146028969575077	-0.312955479079997
LV7008886720	-0.220617564584557	-0.270349703959753	-0.234820859887462	-0.204646270113251	-0.408898722499982
LV7008886228	-0.255658107042436	0.127303708655298	0.224968143447225	0.257716313078049	-0.000452526329177172
