sample	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003047027	717	666	636	530	0.928870292887029	0.887029288702929	0.739191073919107	0.967973517274683	0.938535767592958	0.749246839193995	ko	5	IG-C	ST8	12.877
LV3003047028	38	38	34	28	1	0.894736842105263	0.736842105263158	1	0.91502608110382	0.823237422177352	ko	2	IG-D	ST8	4.753
LV3003047041	945	886	824	736	0.937566137566138	0.871957671957672	0.778835978835979	0.984529679527696	0.933259029005937	0.83559602638003	ko	3	IG-A	ST8	19.097
LV3003047044	539	516	491	422	0.957328385899815	0.910946196660482	0.782931354359926	0.980977792819608	0.944543995842008	0.827827116994884	ko	1	G-A	ST8	12.078
LV3003047045	507	487	462	373	0.960552268244576	0.911242603550296	0.735700197238659	0.988744755625375	0.934115374743711	0.783253155113646	ko	5	IG-C	ST8	3.5865
LV3003047059	169	167	155	141	0.988165680473373	0.917159763313609	0.834319526627219	0.995396921219439	0.804268538082302	0.90642921823121	ko	2	IG-D	ST8	107.683
LV3003047060	162	159	151	130	0.981481481481481	0.932098765432099	0.802469135802469	0.99031379060757	0.960914548473624	0.831012900753608	ko	2	IG-D	ST8	106.686
LV3003047061	109	107	101	90	0.981651376146789	0.926605504587156	0.825688073394496	0.990475222879785	0.832744913769018	0.873231566381347	ko	2	IG-D	ST8	105.689
LV3003047062	108	107	97	89	0.990740740740741	0.898148148148148	0.824074074074074	0.997432377465934	0.759762050030506	0.89866788692292	ko	2	IG-D	ST8	104.692
LV3003047063	57	57	51	51	1	0.894736842105263	0.894736842105263	1	0.750914262494921	0.953555465258025	ko	2	IG-D	ST8	103.695
LV3003047064	35	35	29	32	1	0.828571428571429	0.914285714285714	1	0.818922651933702	0.976151012891344	ko	2	IG-D	ST8	96.283
LV3003047065	270	260	251	219	0.962962962962963	0.92962962962963	0.811111111111111	0.977483737857122	0.931462589907442	0.860926440668252	ko	2	IG-D	ST8	53.61018
LV3003047067	573	558	528	459	0.973821989528796	0.921465968586387	0.801047120418848	0.991458108701188	0.95534267803057	0.819571848873814	ko	1	G-A	ST8	42.86602
LV3003047068	437	425	402	350	0.97254004576659	0.919908466819222	0.80091533180778	0.9889727337433	0.933006574531029	0.827163034201729	ko	1	G-A	ST8	37.78969
LV3003047069	451	438	419	360	0.971175166297117	0.929046563192905	0.798226164079823	0.988602690623482	0.958767117614058	0.816769519821981	ko	1	G-A	ST8	33.7436870748299
LV3003047070	491	481	460	396	0.979633401221996	0.936863543788187	0.806517311608961	0.993481392398372	0.958863059681768	0.860254665116033	ko	1	G-A	ST8	30.128
LV3003047071	612	597	573	496	0.975490196078431	0.936274509803922	0.810457516339869	0.99212711586568	0.953995499925897	0.85286509208984	ko	1	G-A	ST8	26.141
LV3003047073	12	12	9	12	1	0.75	1	1	0.654382904491932	1	ko	2	IG-D	ST8	101.685
LV3003047074	20	20	15	20	1	0.75	1	1	0.615818516247701	1	ko	2	IG-D	ST8	100.672
LV3003047077	117	117	111	100	1	0.948717948717949	0.854700854700855	1	0.960860037751405	0.920288125664446	ko	2	IG-D	ST8	99.7145
LV3003047078	44	44	40	40	1	0.909090909090909	0.909090909090909	1	0.770752463421917	0.951104807405196	ko	2	IG-D	ST8	98.757
LV3003047079	346	343	325	268	0.991329479768786	0.939306358381503	0.774566473988439	0.997522010378404	0.895597924319282	0.813591044253979	ko	4	IG-B	ST8	97.52
LV3003047080	462	453	428	367	0.980519480519481	0.926406926406927	0.794372294372294	0.993794385264092	0.892845650244119	0.876767088326676	ko	4	IG-B	ST8	87.9935
LV3003047081	541	520	498	430	0.961182994454713	0.920517560073937	0.794824399260628	0.983932611108769	0.947860023324762	0.843018027511979	ko	1	G-A	ST8	52.20718
LV3003047082	375	368	351	301	0.981333333333333	0.936	0.802666666666667	0.993260971227448	0.954682615865515	0.852282852149942	ko	1	G-A	ST8	41.9168333333333
