sample	module	module_abundance	n_taxa_in_module_sample	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003046937	brown	0.00801067848321953	15	14	9	14	0.933333333333333	0.6	0.933333333333333	0.932668329177057	0.538199954658808	0.932668329177057	ko	3	IG-A	ST8	18.598
LV3003046937	green	0.00466184803138167	14	14	14	11	1	1	0.785714285714286	1	1	0.787689910401247	ko	3	IG-A	ST8	18.598
LV3003046938	green	0.144800523217789	64	60	55	44	0.9375	0.859375	0.6875	0.970881035340966	0.861401471157569	0.667321128993603	ko	5	IG-C	ST8	11.169
LV3003046938	turquoise	0.511574858851323	198	197	189	153	0.994949494949495	0.954545454545455	0.772727272727273	0.998865050603089	0.967449129480767	0.732099760747449	ko	5	IG-C	ST8	11.169
LV3003046938	grey	0.305049318615608	311	276	265	226	0.887459807073955	0.852090032154341	0.726688102893891	0.918055883717064	0.902190368678515	0.769337463792847	ko	5	IG-C	ST8	11.169
LV3003046938	yellow	0.0332403464983116	66	65	61	49	0.984848484848485	0.924242424242424	0.742424242424242	0.994378413106328	0.941655958882107	0.750361387728879	ko	5	IG-C	ST8	11.169
LV3003046938	blue	0.00533495281696721	19	17	16	13	0.894736842105263	0.842105263157895	0.68421052631579	0.876157117838379	0.839379534650988	0.677758318739054	ko	5	IG-C	ST8	11.169
LV3003046939	green	0.0813613407686019	59	56	52	41	0.949152542372881	0.88135593220339	0.694915254237288	0.985393258426966	0.914145986581521	0.640667690566648	ko	5	IG-C	ST8	2.42
LV3003046939	turquoise	0.66897950083558	205	205	196	161	1	0.95609756097561	0.785365853658537	1	0.91275324818322	0.865197447069557	ko	5	IG-C	ST8	2.42
LV3003046939	grey	0.231337565710249	203	185	175	147	0.911330049261084	0.862068965517241	0.724137931034483	0.962808707345295	0.938962157674933	0.891908719001333	ko	5	IG-C	ST8	2.42
LV3003046939	yellow	0.0165096898982638	58	58	54	41	1	0.931034482758621	0.706896551724138	1	0.917181213400789	0.732143568497789	ko	5	IG-C	ST8	2.42
LV3003046939	blue	0.00181190278730497	16	15	14	10	0.9375	0.875	0.625	0.908166969147005	0.839201451905626	0.559709618874773	ko	5	IG-C	ST8	2.42
LV3003046949	grey	0.205364837223529	455	425	409	376	0.934065934065934	0.898901098901099	0.826373626373626	0.949640877086506	0.916625398870318	0.860234351437795	ko	3	IG-A	ST8	22.3686666666667
LV3003046949	green	0.00507044407485997	22	22	21	16	1	0.954545454545455	0.727272727272727	1	0.983260443372041	0.819785854320615	ko	3	IG-A	ST8	22.3686666666667
LV3003046949	turquoise	0.676260824683145	231	231	221	186	1	0.956709956709957	0.805194805194805	1	0.97212790183594	0.835984292122203	ko	3	IG-A	ST8	22.3686666666667
LV3003046949	yellow	0.0870814933761542	76	74	70	55	0.973684210526316	0.921052631578947	0.723684210526316	0.986670530281078	0.958896411229068	0.769939323691859	ko	3	IG-A	ST8	22.3686666666667
LV3003046949	blue	0.0202557779434536	111	95	88	74	0.855855855855856	0.792792792792793	0.666666666666667	0.868440921102303	0.814080785201963	0.658965647414119	ko	3	IG-A	ST8	22.3686666666667
LV3003046949	brown	0.00596662269885875	21	19	14	17	0.904761904761905	0.666666666666667	0.80952380952381	0.945277457388184	0.743816480840702	0.898500576701269	ko	3	IG-A	ST8	22.3686666666667
LV3003046950	grey	0.235457542404424	424	387	370	331	0.912735849056604	0.872641509433962	0.780660377358491	0.931370385387209	0.903994498134395	0.834179313601207	ko	3	IG-A	ST8	18.099
LV3003046950	turquoise	0.620739618227256	227	227	218	182	1	0.960352422907489	0.801762114537445	1	0.940066229677982	0.790872296643545	ko	3	IG-A	ST8	18.099
LV3003046950	yellow	0.113617028475858	76	74	70	55	0.973684210526316	0.921052631578947	0.723684210526316	0.979302055967411	0.951467256618343	0.78959572001404	ko	3	IG-A	ST8	18.099
LV3003046950	blue	0.0156131421085959	65	56	55	45	0.861538461538462	0.846153846153846	0.692307692307692	0.870743034055728	0.858978328173375	0.706578947368421	ko	3	IG-A	ST8	18.099
LV3003046950	brown	0.00863919140358764	23	21	12	18	0.91304347826087	0.521739130434783	0.782608695652174	0.933697020562317	0.443978178766261	0.873548748076654	ko	3	IG-A	ST8	18.099
LV3003046950	green	0.0059334773802791	20	20	20	17	1	1	0.85	1	1	0.85071283095723	ko	3	IG-A	ST8	18.099
LV3003046952	green	0.17778202178914	64	60	55	43	0.9375	0.859375	0.671875	0.971161546123948	0.881247680618762	0.565196585870818	ko	5	IG-C	ST8	10.26
LV3003046952	turquoise	0.535038847172186	190	190	182	151	1	0.957894736842105	0.794736842105263	1	0.96507111357729	0.763230565047101	ko	5	IG-C	ST8	10.26
LV3003046952	yellow	0.030918008594123	55	55	51	41	1	0.927272727272727	0.745454545454546	1	0.950696316262354	0.760388589398023	ko	5	IG-C	ST8	10.26
LV3003046952	grey	0.251497026780676	266	237	228	195	0.890977443609023	0.857142857142857	0.733082706766917	0.883601645772353	0.859653725078699	0.692404871044348	ko	5	IG-C	ST8	10.26
LV3003046952	blue	0.0047640956638743	16	14	14	12	0.875	0.875	0.75	0.838192419825073	0.838192419825073	0.730320699708455	ko	5	IG-C	ST8	10.26
LV3003046953	grey	0.283958253048404	177	165	155	131	0.932203389830508	0.875706214689266	0.740112994350282	0.991124255620158	0.972835036944926	0.952489321420055	ko	5	IG-C	ST8	1.5215
LV3003046953	green	0.0417201394594673	56	52	48	37	0.928571428571429	0.857142857142857	0.660714285714286	0.982255868416753	0.921954141931267	0.595664724143565	ko	5	IG-C	ST8	1.5215
LV3003046953	turquoise	0.654451541834205	204	204	195	161	1	0.955882352941176	0.78921568627451	1	0.77532813283356	0.875306745697228	ko	5	IG-C	ST8	1.5215
LV3003046953	yellow	0.0175433175065985	59	59	55	43	1	0.932203389830508	0.728813559322034	1	0.927934929022899	0.75199461195731	ko	5	IG-C	ST8	1.5215
