sample	MEblack	MEgreen	MEbrown	MEturquoise	MEred	MEblue	MEyellow	MEgrey
LV3003047098	-0.0258516919410028	-0.0217133629576335	-0.0539204114997123	-0.0352541392680247	0.00752495224708541	-0.00552652610625806	0.0319613446854206	-0.0497449420491698
LV3003047085	-0.0172813069599629	0.000554386655887613	-0.0495707851148194	0.0134360410550158	0.0569154869687692	0.0127156315042787	0.00439191094514977	-0.0568462623636672
LV3003047070	-0.0218084185323001	-0.0171412363654089	-0.051958210974298	-0.0288210558252932	0.0551909165446836	0.0435219371970121	0.0320271648111111	-0.0474795443332854
LV3003047168	-0.00491242634253162	0.0101481430850699	-0.0459656101324599	0.0118062774243429	0.0478216922266451	0.0054424299416821	0.00459281082965002	-0.038896070170162
LV3003047155	-0.0170695664508096	-0.0250329777943648	-0.0539204114997123	-0.0380149516187272	-0.0179339127215075	-0.0337632872598277	0.00927381907972977	-0.0421761242192814
LV3003047143	-0.0196881987056953	-0.0243382381345179	-0.0174818495464599	-0.0270540808368568	0.065551875083821	0.0440636807145109	0.0523995331168625	-0.0445409551188067
LV3003047130	-0.0280571635757174	-0.030594595130544	-0.0375528660047898	-0.0269479150842819	0.0533811670287827	0.0337441035124523	0.0439363635531719	-0.0446902969715988
LV3003047114	-0.0280571635757174	-0.0347921525902669	-0.0233355828712481	-0.043192826768537	0.0255205033830372	0.0373651230796624	0.0531064158265583	-0.0328725198437724
LV3003047097	-0.0210129017152174	-0.0275868056905116	-0.0264352258083739	-0.0287794817921812	0.0677861260919975	0.0503589517213259	0.054780583679607	-0.0420635390808775
LV3003047084	-0.0237245801328177	-0.0220605933052401	0.0486938596513387	0.00647827048338342	0.0567116197295896	0.0515476907078988	0.0411945706063065	-0.0197707756373446
LV3003047069	-0.0189655115511343	-0.0188285975261978	-0.0433846862271324	-0.0309698380844804	0.0671489895013567	0.0547521096221082	0.0629038207356317	-0.0290318014745741
LV3003047167	-0.0280571635757174	-0.0261993517146419	-0.0532169007572756	-0.0350188325925356	0.00885750334718877	-0.00347479582442538	0.028097422206837	-0.0332944817554491
LV3003047154	-0.0173789337456939	-0.0208209857878322	-0.0356882664854815	-0.0455368811804061	0.0331577881568442	0.0600612612954809	0.0624818190233703	-0.0216520396101944
LV3003047142	-0.0162254600531395	-0.020969899545568	-0.0539204114997123	-0.0213595269763382	0.0485618078460738	-0.00261574672663159	0.0259976201956159	-0.0407787867083274
LV3003047129	-0.0252017221595387	-0.0013269427028229	-0.0533440181499599	0.00169889007653561	0.058831901471376	0.0347019118402482	0.0280024258230544	-0.039643853662235
LV3003047113	-0.00781231218794666	-0.01044056841715	-0.0496845863308803	0.0267322362549131	0.0786617837961844	0.0499142947087841	0.036698443276582	-0.0417923381699688
LV3003047096	-0.0280571635757174	-0.0141791634385235	-0.0508039997369282	-0.00019641440281612	0.0768332819464415	0.0408686480119997	0.0346430000152499	-0.040691356278668
LV3003047083	-0.0248294841781413	-0.0303985736192338	-0.0419456138136602	-0.0381419641939931	0.0676707598302189	0.0560899034488714	0.0609217629677837	-0.0310970296317593
LV3003047068	-0.0248624787106144	-0.025845086863096	-0.0482093387580861	-0.0346270956033828	0.05968757071849	0.0603914834678144	0.0581583718081612	-0.0272903581111961
LV3003047166	-0.023617090299828	-0.0282708382573241	-0.0276621614635539	-0.0155490108733463	0.0740438875769838	0.0596554698593817	0.0459435623828308	-0.0358784788760122
LV3003047153	-0.0259897704475201	-0.0255270972805032	-0.0290973115507503	-0.0220731546304671	0.0769340342825777	0.0632244425415606	0.0509879945470098	-0.034306390316979
LV3003047141	-0.0221143928021995	-0.0360933707551427	-0.0539204114997123	-0.0581193476621479	-0.125172035795637	-0.159440692452209	-0.186289949246998	-0.0181994317450981
LV3003047128	-0.0176858812289351	-0.0228102362594726	-0.0503549393245475	0.006032874130993	0.057847343929339	0.0328527262125463	0.0176818718349366	-0.0409435085895056
LV3003047112	-0.0204050456556207	-0.0296690906250141	-0.0369827031224739	-0.0124416238799335	0.0738429343837765	0.0644492440275136	0.0535641605988417	-0.0302268646901215
