sample	MEbrown	MEgrey60	MEpurple	MEsalmon	MEmidnightblue	MEyellow	MElightyellow	MEred	MEmagenta	MElightcyan	MEgreenyellow	MEtan	MEblack	MEgreen	MEturquoise	MEpink	MEblue	MEcyan	MElightgreen	MEgrey
LV3003061486	0.00778363031671499	-0.00603698597660832	0.028091171377603	0.00715516235405872	0.0256691127224721	0.030487861293882	0.0366046275470691	0.0376310500117308	-0.0427408212591183	0.00437104934894793	0.0179594501264592	0.00779261182867223	-0.0805006199394592	-0.016013526442996	0.0303768010873071	-0.0512403352917725	0.0196004619172064	-0.00696086159871112	-0.0283836214854103	0.0296326732646875
LV3003061475	-0.0219727288861859	-0.0214740292549833	0.0152764192356749	-0.0238187028918144	0.00525474642905883	-0.00499742368471945	-0.0085759848536923	-0.00421325278405977	-0.0183861343408433	-0.0307626683476515	-0.00718335171264654	-0.0228722589713463	-0.0274433666993086	0.0346495628064292	0.0539145426149307	-0.0706766421004261	-0.0250934749484025	-0.0409994201239086	-0.0154132933214674	-0.033337245221588
LV3003061570	-0.0450792832679256	-0.0119325982423884	-0.0335801686337395	-0.0462787610764836	-0.0437713441514739	-0.0342871723338816	-0.0343893043563155	-0.0360751936507717	0.0830681062411017	0.0368976382799758	-0.00944880955779515	-0.0409547609336213	0.0232043844557332	0.0647444889205573	0.0514078068021619	-0.0395904493499491	-0.0620847693166422	-0.0770006258978301	-0.0191822159854754	-0.0261770444294592
LV3003061557	-0.035081618236339	-0.0278930182376996	-0.012735228521086	-0.0394659985926397	-0.00897020026757468	-0.0242655096454384	-0.0131031483424257	-0.0091042744870513	0.116586183431966	0.108944894805061	-0.0075391804366114	4.44254173239126e-05	-0.0195212029844421	0.0368051743613031	0.0488907676506062	-0.0236537367182468	-0.0435624693758682	-0.0577642396194272	-0.040694055071908	-0.0194171545141076
LV3003061543	-0.084938895956231	-0.040628326695248	-0.0773064597222934	-0.0686790597413719	-0.0760312118640934	-0.081229949005845	-0.0426380475339587	-0.086714824524152	0.0940582190385824	0.115668236110551	-0.027153716125793	-0.0563421352269851	0.0747069587337676	0.062145124385233	0.0378105929130396	0.068202912372066	-0.0585465013201619	-0.0545410960680725	0.0778514022355847	-0.062615843649547
LV3003061529	-0.0774227391279119	-0.0890103944108159	-0.111883253514267	-0.109103915524749	-0.0636217706647192	-0.0937517674300118	-0.0931896516783064	-0.123586117137917	0.0842191214582622	0.0746503678957022	-0.0779763625871387	-0.00954517452887052	0.0919354501997884	0.0577106444953701	0.0392360154235785	0.131570046815289	-0.017926503725911	-0.0693013280671322	0.028466724962828	-0.0938856585930015
LV3003061515	-0.128612534484518	-0.0319671755816671	-0.156261571433645	-0.128119728222979	-0.114619265781844	-0.113274800686052	-0.113469048418378	-0.0986409197690011	0.144963756396795	0.24457723348507	0.106640109234548	0.19219381215521	0.0457875232946538	0.0278176107007099	0.0247189886099687	0.132673991175632	-0.0241436913203107	-0.133366773589264	-0.0275759936235796	-0.0501990535524706
LV3003061503	-0.0827702349900827	-0.0381355650178528	-0.0818313365376972	-0.0532404119275011	-0.0476638875337904	-0.0594796817623318	-0.0892755783483983	-0.0781278565384791	0.106626190658534	0.159256746125654	-0.0800011421678438	-0.0406430150352386	0.0552961183950862	0.0502959472449385	0.0515328263208202	0.0797750606478016	-0.0830640695623732	-0.107217757850965	-0.0414226969769327	-0.0716277739511582
LV3003061485	-0.11507820813295	-0.0793551771536942	-0.114179929383391	-0.103548192984719	-0.0792510355432841	-0.0980381561366484	-0.123446646208626	-0.101924615414978	0.123383423100523	0.193697296020381	-0.0914710410742321	0.0395880633684501	0.0468567438968873	0.0412538124198961	0.0389900173516206	0.132504544843456	-0.0321060078460385	-0.12861150368865	-0.0311881510002455	0.0195517218223503
LV3003061474	-0.0573668328267431	-0.0697154335503206	-0.0405642413198719	-0.0589522488521703	0.00416798824300497	-0.0179474414494143	-0.0126144142550379	-0.0465090946451681	0.0780163429390359	-0.0117335971842905	-0.0517949438019131	-0.0444196475471137	0.0252412062425406	0.0521065740167926	0.0474830500993875	-0.0106919611490742	-0.0732313993586162	-0.0782027702084595	-0.0447688342636055	-0.064991591528804
