sample	MEblue	MEyellow	MEturquoise	MEred	MEblack	MEpink	MEbrown	MEgreen	MEgrey
LV7001898064	0.046280526420227	0.0682634896303462	-0.0520296266472528	-0.0686704786864168	-0.0626217682341493	-0.066357729038133	-0.033070441416427	0.164176567496376	-0.0942375460475081
LV3003061546	0.00684011324833303	-0.0367864243818759	-0.00181428379021898	-0.0613814956556024	-0.0123503901379065	-0.0232231097044245	-0.0212716669537575	0.278701529421828	0.020612268420777
LV3003061533	0.0320616035995913	0.021259039279552	-0.0266486191494761	-0.0706984266520621	-0.036028248873246	-0.0456119289896813	-0.0532616415611506	0.263274995281286	-0.00413406598677901
LV3003061518	0.0393751177952335	0.0790990343060042	-0.11983710851783	-0.0238089820514753	-0.0939485798256876	-0.103306012426529	0.118739149154853	-0.0215724567479112	-0.175086984999391
LV3003061506	0.0453937196768345	0.0399777031878823	-0.0110640840082092	-0.0543543668578902	-0.0138247808750288	-0.0236388864845985	-0.0156950280313448	0.119384968505259	0.000470784363789075
LV3003061492	0.0222613880299008	0.0702066830673741	-0.169709387804027	-0.0670542580601132	-0.14502306444791	-0.149943454937173	0.241776551710816	0.0479815321705592	-0.195821936416934
LV3003061477	0.0365621771262006	0.086661683444636	-0.154614550768624	-0.0401172614897584	-0.132090063451715	-0.113441812237095	0.255309760268551	-0.051784603843334	-0.211948380862942
LV3003061572	0.0320375706199697	0.0895677603302797	-0.140138043117122	-0.0741083507866774	-0.133444358588222	-0.127595885251334	0.223917705960657	-0.0327310458039428	-0.207283851028248
LV3003061559	0.037972764840441	0.0802657920547159	-0.0673387841724036	-0.0389083253326304	-0.0666146784739152	-0.0679836078097829	-0.0558785507156501	-0.0575515479404379	-0.0441774807046789
LV3003061545	0.0291091785031729	0.0816364893595086	-0.0815134171155127	-0.0834283196374896	-0.087236384713881	-0.0880730794966236	-0.030838187254267	-0.0660335725450285	-0.0235085996629915
LV3003061531	0.0140485076209353	0.0603991675711752	-0.109457125438648	-0.03156261702468	-0.0974857659598162	-0.104834221354624	-0.0707679286078119	-0.0797940357029346	-0.0225666100301137
LV3003061517	0.0316979577507063	0.0716685669437979	-0.0992800852352843	0.0570891244739559	-0.103160205974823	-0.0623464775637548	-0.0495226308075943	-0.086531157221699	-0.058917119929386
LV3003061505	0.0549938603190627	0.084228968440143	-0.0235085887579393	-0.0540422975133732	-0.0276926533351397	-0.0341180339619486	-0.0326292235259365	-0.0305880456716752	0.0119756623716138
LV3003061488	0.0335103671156176	0.0734871056513526	-0.0863721659112432	-0.0465845459037752	-0.0781935569593444	-0.087498938605647	-0.0391346220861897	-0.0756411275138192	-0.0627306975428737
LV3003061476	0.0342021797219741	0.0706856254857582	-0.0495745594294219	0.0151424949028221	-0.011119372535139	-0.0451666146616543	-0.078897336958506	-0.0604538310893254	-0.00548531125745429
LV3003061571	0.0434912288272368	0.0631896778452262	-0.0235524390611497	-0.0735398494660872	-0.0328631765776243	-0.0359375333694593	-0.0432232338238764	-0.0224926105652226	0.00881701883934844
LV3003061558	0.0526736215001052	0.078429094090719	-0.0501339630660963	-0.017826435620071	-0.0466994989000568	-0.0509645232544161	-0.062404142999334	-0.0514682627853566	-0.0194971744612822
LV3003061544	0.0484353674184348	0.078964385875674	-0.0251109075749338	-0.0117187891041589	-0.0358240217035442	-0.0344516537909827	-0.0508542210094166	-0.0406197249111521	-0.010637529879001
LV3003061530	0.0606015873502729	0.0171460763958814	0.00526398320935704	-0.0159503087907407	0.0138153600236346	-0.00918294292148607	-0.0157664405007552	-0.0159875398870246	0.0274135194814034
LV3003061516	0.0587469526569304	0.0536558387046072	-0.00954575307664847	-0.0338353446682069	-0.00909934911540477	-0.0192867793587474	-0.027396070239831	-0.0229451895992622	0.0287061099922303
LV3003061504	0.0562124886013223	0.0418006035610534	-0.00521882826312434	-0.03158035010842	-0.000355356637795261	-0.0192945858734011	-0.0222159334845247	-0.0218919454359562	0.0172712426386628
LV3003061486	0.0314765656252427	-0.0454969160767041	0.0323813192334917	-0.0328718611461061	0.019635938852292	0.00896936147615439	0.0170850334850543	0.00778363031671499	0.0460787667490272
LV3003061475	0.0539477162989444	0.0146200768242493	-0.00298765402648513	-0.0243505409556265	-0.00613272920544091	-0.0227351679214861	-0.0293277186294645	-0.0219727288861859	0.0235962907234248
LV3003061570	0.0514271067964355	0.0568116863071096	-0.0376105785889872	0.0728016042194719	-0.00890319115052591	-0.0418001961118839	-0.0642871108085657	-0.0450792832679256	-0.00353135028557249
LV3003061557	0.0487592353452292	0.0209726456215227	-0.0200603570763496	0.122782746939428	-0.00711874595024124	-0.00106630780853585	-0.0477978010569715	-0.035081618236339	-0.0158148981792394
LV3003061543	0.037748247615775	0.0677548135705081	-0.084859632608631	0.101610571327735	-0.0239829421482882	-0.0592461299270883	-0.07070664257344	-0.084938895956231	-0.0884492150113501
