sample	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	MEgrey
LV3003047070	0.14874148873243	-0.0209618428492504	-0.0553354639342091	-0.0298790731133344	0.0247132778888235	0.0112640389753221	-0.0206660031095026
LV3003047168	0.182186003196535	0.00561097012325016	-0.0391602883588586	0.011176260200231	0.0525226104723742	0.0208151626706785	-0.0163066926032222
LV3003047155	0.220928238569266	-0.0220477341708946	-0.0566524493255071	-0.0305135939870184	-0.0242588308148894	-0.0179391286186017	-0.0187953623347576
LV3003047143	0.161567649069109	-0.0235801330910992	-0.0297499307005823	-0.0352216470352557	0.0408378531232739	0.0270397925464065	-0.0171548279230478
LV3003047130	0.102610558578584	-0.0311409750879905	-0.0472832904333045	-0.0321875771890325	0.0208090186713265	0.0080475940427838	-0.0191242123945775
LV3003047114	0.024800729708345	-0.0321121207908266	-0.0400936268083414	-0.0388453660658817	-0.000118660612190648	0.00716673811190106	-0.0190196884341579
LV3003047097	0.124046762450804	-0.0258135678677598	-0.0378601377609408	-0.0325706221928287	0.0348360745108569	0.0252840220109945	-0.013917162621753
LV3003047084	0.0270952275365474	-0.0244782169937394	0.0365718336241566	-0.0101857434430935	0.0515469695174465	0.0456731941031283	-0.0130061097399245
LV3003047069	-0.00410696778217971	-0.0233261645604766	-0.0505016649503574	-0.0359952753124057	0.0218761003634402	0.0166389631026026	-0.014542380459288
LV3003047167	0.00095782480448514	-0.0290524675398684	-0.0593589967672335	-0.0283713856928535	-0.0154757028717073	-0.0157696570994022	-0.0170395953641606
LV3003047154	-0.0410164451516647	-0.0241614469683024	-0.0481750331259323	-0.038434844319553	-0.00634873526764735	0.0155749533386389	-0.0177815699723175
LV3003047142	0.0215800637839466	-0.0218147331017725	-0.0557052747813679	-0.0241753509581671	0.0127815394556456	-0.0107724308431865	-0.0198410348593714
LV3003047129	0.10234067831788	-0.0189888354561338	-0.0516082101820249	-0.00958196970238508	0.0458537476415697	0.0215371839224417	-0.0192558665061768
LV3003047113	0.149279706525671	-0.012528703287548	-0.0374147427780555	0.00537324305191631	0.0710091699380466	0.0430462556978919	-0.021931606686814
LV3003047096	0.159614966813903	-0.0195265733503705	-0.0461330667249843	-0.010828798437967	0.0524202946472895	0.0257793032707959	-0.0183216844454355
LV3003047083	0.00375124309698018	-0.0312301839842094	-0.051192767264669	-0.0316703096561309	0.00732722228572564	0.0198858570341862	-0.0189582417001175
LV3003047068	-0.0166939206384704	-0.0293200815048831	-0.0565029943439795	-0.0315090012491376	0.0105776939254393	0.018708110865188	-0.0183216844454355
LV3003047166	0.0284386889880526	-0.029049296911937	-0.0360149305806552	-0.0206096782362596	0.0446013169833162	0.0298317184266298	-0.0183216844454355
LV3003047153	0.0260117857288455	-0.0265192796034261	-0.0410139043009692	-0.0282070954696356	0.047258581202398	0.0350325400859438	-0.0219334935409357
LV3003047141	-0.0473857724742114	-0.0337660206843222	-0.0606329344363885	-0.0444911103566707	-0.120634443278952	-0.172564685209652	-0.0183216844454355
LV3003047128	0.0895967211443154	-0.0227652447299068	-0.0412211113931735	-0.00112328011921337	0.0445174360868423	0.0186043888830018	-0.0214659976241225
LV3003047112	-0.0180182760094966	-0.0294630836753963	-0.0390058194337047	-0.0275812447224991	0.036744012826986	0.0286282227877901	-0.0192441404186931
LV3003047095	-0.0350036768293317	-0.0306661910929436	-0.0439961076646926	-0.0354947522500632	-0.0102695896918401	0.0158064081444545	-0.0183216844454355
LV3003047082	-0.0339122026977557	-0.0300064154721819	-0.0490007334035365	-0.0402393623295711	-0.0283806149519253	0.00481472749505504	-0.0187935134420922
LV3003047067	0.0163674856260895	-0.0165226613100862	-0.0193902887277385	-0.0283407676168872	0.0556849472810691	0.0356005717687884	-0.0200757007985293
LV3003047164	0.000821619709157072	-0.0305689829773179	-0.0561912869423932	-0.0385737907154277	-0.0178263322382324	0.00102859114706314	-0.0183216844454355
LV3003047152	-0.00799147947610384	-0.0287509464780883	-0.0367961429395287	-0.0376548173832479	0.0281670463503925	0.0205158398686273	-0.0192698232909214
LV3003047140	-0.0438896465098572	-0.0351345564866786	-0.0604882571909736	-0.0443176851428038	-0.0978853777960763	-0.12270197366254	-0.0183216844454355
LV3003047127	-0.0440170257588609	-0.026886811228665	-0.0596773862814066	-0.0429893096390738	-0.0844264880272247	-0.0527715634205357	-0.0183216844454355
LV3003047110	-0.0321878214116951	-0.0316781114137877	-0.0571268517933696	-0.040084572950701	-0.0369595531363928	-0.00594563060578193	-0.0183216844454355
LV3003047094	-0.0300327255425807	-0.030260806554844	-0.0289857471172554	-0.0388311257885987	-0.0137568464034809	0.0228828653264099	-0.0189778587828839
LV3003047081	0.00216089604705689	-0.0238080955127855	-0.0307347294284798	-0.0193131963971759	0.0325984077559882	0.0203376613005393	-0.0219022491242577
