sample	core	age_kyr	d18O	sst	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	analysis_partition	harmonization_mode
LV3003047088	ST8	93.52	3.8688	6.98472526975806	-0.683036716743389	-0.39415895882863	-0.512852633988686	-0.540130998183236	-1.44191103155325	-1.54474819116161	training	corewise_z
LV3003047087	ST8	94.9015	3.776895	6.61928230068734	-0.683036716743389	-0.402311786250614	-0.617669206560662	-0.539887107568841	-1.12689763126186	-1.35450343821606	training	corewise_z
LV3003047064	ST8	96.283	3.77264	6.64358420103273	-0.683036716743389	-0.379210056585941	-0.698775318157949	-0.547569578673877	-1.52937125399808	-2.2807610825618	training	corewise_z
LV3003047079	ST8	97.52	3.8664	6.85473981358423	-0.664986570667555	-0.241719060303084	0.534314269854021	-0.483397023242573	-0.930926789446785	-0.476980721270158	training	corewise_z
LV3003047078	ST8	98.757	3.80916	7.06589542613573	-0.683036716743389	-0.410020145565378	-0.6976133041775	-0.54675531653838	-1.41872396352348	-2.16007846776522	training	corewise_z
LV3003047077	ST8	99.7145	3.801435	7.22934045363618	-0.683036716743389	-0.356347097463775	-0.698978815710218	-0.536971986213067	-1.14556972942047	-1.62088579876364	training	corewise_z
LV3003047074	ST8	100.672	3.88392	7.39278548113664	-0.683036716743389	-0.361256091577928	-0.697332078943483	-0.547521971839716	-1.52106648001143	-2.33279721794076	training	corewise_z
LV3003047073	ST8	101.685	3.8789	7.56570434574025	-0.683036716743389	-0.418613255967545	-0.704699673190763	-0.54606837277689	-1.53318077620402	-2.39114990178202	training	corewise_z
LV3003047162	ST8	102.698	3.87396	7.78994871915485	-0.683036716743389	-0.336542544078496	-0.696872085703104	-0.536561285714623	-1.45309733617469	-2.12949517155303	training	corewise_z
LV3003047063	ST8	103.695	3.9078	8.08727062917724	-0.683036716743389	-0.394512437022959	-0.704690491071838	-0.543900485229888	-1.34698058612562	-2.13759119186146	training	corewise_z
LV3003047062	ST8	104.692	3.87156	8.38459253919963	-0.661425566065428	-0.252047943650251	-0.702124184285034	-0.530402595093435	-1.27823167892856	-1.65845416814087	training	corewise_z
LV3003047061	ST8	105.689	3.95335	8.70043106924403	-0.683036716743389	-0.375685344180903	-0.705483646621738	-0.543449823402012	-1.3102490571958	-1.49517763532256	training	corewise_z
LV3003047060	ST8	106.686	4.02744	9.16482148751936	-0.683036716743389	-0.395190333296733	-0.63896751535375	-0.525254297754274	-1.18066549980757	-1.07005892390759	training	corewise_z
LV3003047059	ST8	107.683	4.08781	9.62921190579469	-0.683036716743389	-0.335903596838651	-0.657569359431192	-0.537487005503158	-1.16045123098607	-1.19687302249214	training	corewise_z
LV7001898100	ST13	5.659	3.30613	6.37410536713431	-0.611037190313753	-0.480433443345483	1.27716637674915	-0.507438166149181	-0.649241498004721	0.367163835975636	training	corewise_z
LV7001898088	ST13	6.031	3.33124	6.31439442739767	-0.199150283066776	-0.442776461140673	0.903871188447934	0.383750026009227	0.626621069249189	0.724922348764072	training	corewise_z
LV7001898076	ST13	6.429	3.34716	6.25051014241062	-0.403481988290016	2.69875053562724	0.924925222118956	2.72297101657455	1.3389617669002	1.01192441339443	training	corewise_z
LV7001898064	ST13	6.808	3.36232	6.18967560972194	-0.618119751923919	2.36942773336883	-0.466876960773664	-0.104328233264493	0.305631130362685	0.304533411327734	training	corewise_z
LV3003061546	ST13	7.197	3.37985	6.14534613060279	-0.661396426260465	3.09673308202889	-1.01937545154861	-0.550920990946385	-1.05233838941252	-0.603256121841653	training	corewise_z
LV3003061533	ST13	7.912	3.4156	6.23449698261132	-0.661396426260465	3.33888372157243	-0.900328462559023	-0.471276483015855	-0.259115450865672	-0.107128899094635	training	corewise_z
LV3003061518	ST13	9.804	3.49256	6.47040385254158	-0.0746337065780369	0.342984598138846	0.337107905998784	1.69155562964257	1.02346990691486	0.690370325842222	training	corewise_z
LV3003061506	ST13	11.95	3.904	6.73798109507347	-0.591729837940705	1.39325758935005	-0.983775519761751	-0.612979703350652	-0.546067053118663	-0.190625436027255	training	corewise_z
LV3003061492	ST13	14.437	4.37177	7.04807643625558	0.0935225218127204	1.68504256260802	0.587377771252658	2.89110903389291	1.4112715145905	1.02423560421143	training	corewise_z
LV3003061477	ST13	16.726	4.84438	7.31209108888136	-0.202524299961534	0.268601982073179	0.64297234604543	2.69990769142237	1.32416409696358	0.873497285419844	training	corewise_z
LV3003061572	ST13	19.099	4.96297	7.43201022654066	-0.337189315416449	0.578674600760137	0.296913884425263	2.41023557830652	1.27198887161987	0.851832412948794	training	corewise_z
LV3003061559	ST13	21.069	4.90793	7.53156383007576	2.01658913228722	-0.216178684206348	-0.184661613863064	0.0326540320559057	0.578901230175497	0.305107659890371	training	corewise_z
LV3003061545	ST13	23.172	4.8514	7.63783856522009	3.29108016100029	-0.198092515906466	-0.284431535033362	0.574259990829896	0.75190365784633	0.392112532945707	training	corewise_z
LV3003061531	ST13	28.445	4.7411	7.98634449117112	3.49661313602751	-0.0624039696711231	0.179988402125607	0.708151238770054	1.05929221147175	0.608823102636824	training	corewise_z
LV3003061517	ST13	30.678	4.62	8.34038156140496	2.28451760324148	-0.305746110324887	0.555993845500883	0.602058068970135	0.924903898615904	0.606738073715635	training	corewise_z
