sample	core	age_kyr	d18O	sst	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	harmonization_mode
LV3003047083	ST8	37.30319	4.4448405	9.1756505076159	3.87079942396926	-49.9749713622262	-113.33024685779	-80.056845481369	15.0683098017103	45.5043826452477	corewise_z
LV3003047084	ST8	33.276	4.58276	8.75228855131429	28.0382477945456	-39.1540886615437	81.3705873043109	-25.6667104059164	104.96757836878	104.235573565295	corewise_z
LV3003047085	ST8	29.703	4.65267	8.18579752939511	234.233929323706	-13.8898859776425	-91.5396396831055	11.9715865804306	104.876880963712	38.1986004779717	corewise_z
LV3003047087	ST8	94.9015	3.776895	6.61928230068734	-49.0700850613466	-52.8310157090473	-121.719624163062	-111.352641135149	-189.889870670748	-263.522983162957	corewise_z
LV3003047088	ST8	93.52	3.8688	6.98472526975806	-49.0700850613466	-51.928010294507	-106.780748863565	-111.393876441718	-235.985063550734	-295.513143874727	corewise_z
LV3003047089	ST8	92.1385	3.96892	7.35016823882878	-49.0700850613466	-49.6663181898739	-27.1787043799628	-106.632493510716	-228.252589863098	-239.67261945092	corewise_z
LV3003047090	ST8	90.757	4.03729	7.7156112078995	-42.6097756919172	-49.7946543165293	-123.459406878535	-110.456875623379	-228.527560123716	-235.262967632531	corewise_z
LV3003047091	ST8	89.37525	4.072495	8.08112030852452	-49.0700850613466	-45.8458576247996	-39.0644927907179	-100.902044284055	-170.891371157556	-35.540347304979	corewise_z
LV3003047093	ST8	79.675	3.94875	8.33291896762292	-47.1982820544817	-45.2994499476609	50.2603514653361	-98.6597307501882	-104.148121598208	34.0634041239245	corewise_z
LV3003047094	ST8	50.6848	4.333152	8.71916462667657	-31.1049057716644	-48.4214211937115	-64.0652208317162	-98.1851033588335	-27.7958509463149	52.3301307141154	corewise_z
LV3003047095	ST8	40.9751666666667	4.51099333333333	8.62310282547109	-36.2512084041996	-49.0711012856961	-97.3648620317255	-89.7387700410591	-20.7062168505048	36.21335383716	corewise_z
LV3003047096	ST8	36.89377	4.4589377	9.23725876185055	165.232648577274	-31.2184522586845	-102.105585596755	-27.2946626617503	106.743058675863	58.9268277458797	corewise_z
LV3003047097	ST8	32.835	4.5833	8.6823690045283	128.409768369971	-41.2941576506876	-83.7525576794576	-82.3360686220907	70.9941313854414	57.7988144829843	corewise_z
LV3003047098	ST8	29.278	4.69942	8.11841474621133	146.550536291133	-37.2891563859399	-130.572881824147	-73.8035572387387	-34.4232074815083	-15.2379373963737	corewise_z
LV3003047099	ST8	25.058	4.8113	7.73314724352832	-4.82850339897845	-24.3692182285194	-43.7676657756346	63.9058440697602	110.252937816208	86.7662892888218	corewise_z
LV3003047100	ST8	86.61175	4.13341	8.5396208419164	-47.6696267783185	-40.2191719879767	3.47611575205665	-96.9754772447134	-103.142438058615	44.5669432006548	corewise_z
LV3003047101	ST8	85.23	3.9753	8.34374151531365	-49.0700850613466	-54.3235190275374	-90.2288094354613	-101.782947430716	-140.758449249061	-15.7178275528307	corewise_z
LV3003047104	ST8	83.84125	3.8215875	8.14686985631632	-49.0700850613466	-53.8278635862749	-125.67758412704	-109.848204380567	-223.655396259531	-250.26847792119	corewise_z
LV3003047105	ST8	82.4525	3.813575	7.94999819731899	-49.0700850613466	-51.2838482589841	-132.309588006328	-112.513869512632	-230.751905525821	-270.702808425033	corewise_z
LV3003047106	ST8	81.06375	3.818725	7.9892783476803	-47.4968545549723	-44.8559038313139	-107.36417045634	-111.840482071354	-190.467201916889	-72.901948992887	corewise_z
LV3003047107	ST8	71.517	4.21483	10.3113102251429	-41.3265290731934	-47.7982000327162	-69.0135448245123	-104.310098759682	-32.6749766089313	51.3380175274594	corewise_z
LV3003047110	ST8	49.1548	4.441424	8.86409767812845	-33.3360230980702	-50.6928318287729	-126.494679852706	-101.358318949071	-74.9672278683585	-13.3273621090025	corewise_z
LV3003047112	ST8	40.0335	4.54866	8.76480191052874	-18.6666440197602	-47.1429691932296	-86.2941880761357	-69.7050053805636	74.872992523934	65.4153005812522	corewise_z
LV3003047113	ST8	36.48927	4.4548927	9.26174520006947	154.532809821857	-20.0034787241133	-82.7644739438609	13.7222802169049	144.53446176477	98.2526672806848	corewise_z
LV3003047114	ST8	32.3855	4.59229	8.61110180207863	25.6628110758037	-51.3883868524517	-88.7074275953097	-98.2211539170463	-0.0692581009517652	16.5363275194934	corewise_z
LV3003047117	ST8	28.7616666666667	4.73476666666667	8.03655127079825	71.1089220540347	-41.7741323401093	-99.4577121054645	-71.1850694749671	54.2309078752786	49.6315403451885	corewise_z
LV3003047118	ST8	24.528	4.81528	7.70636378673969	-22.4813075092902	29.9746112914877	77.0456239019646	424.168602959919	219.98063074775	162.776424240914	corewise_z
LV3003047122	ST8	76.951	4.07902	8.14654944891421	-49.0700850613466	-52.1762459356137	-131.314091525629	-110.419832528153	-209.482122760248	-274.179129706549	corewise_z
LV3003047123	ST8	75.589	4.01479	7.91867251010661	-49.0700850613466	-53.3379395912678	-130.325318632006	-106.095994784485	-233.456433492324	-323.981572285297	corewise_z
LV3003047124	ST8	74.227	4.01184	8.74840765343023	-49.0700850613466	-44.0700618428618	-124.140411341095	-101.68891057176	-215.201886704297	-262.191843890068	corewise_z
LV3003047125	ST8	72.872	4.22744	9.79667019017442	-49.0700850613466	-55.152549603895	-104.561173575377	-109.708294046621	-200.07673551692	-109.989965411651	corewise_z
LV3003047126	ST8	64.210824	4.38529888	7.97137649847746	-43.0106333337981	-48.4799288656008	-118.298870035548	-97.7128022393811	-65.4477245756938	-11.7276453357844	corewise_z
