sample	MEgrey	MEleiden1	MEleiden2	MEleiden3	MEleiden4	MEleiden5	MEleiden6
LV7008867149	2.62459578113154	0.312919074007979	5.37035265901242	9.94926098645265	6.04317864446616	0.0420831504321158	-1.96430858574501
LV7008867125	-0.205820914287512	9.71451171553407	10.8558884339078	4.5294922364024	8.95627545309742	4.08181242875579	-2.65650142822206
LV7008867198	-1.27381225214662	-7.116473746361	-11.2060268044667	-7.52267125449927	-8.32291074936741	-2.81353283270341	-3.36531932169985
LV7008867174	3.10962883812156	16.3031308750588	12.5311046977805	11.8116735599814	11.1166971919026	4.21901107480173	-2.27204595465493
LV7008867138	11.4415732971946	13.0381386630467	10.5581015671492	21.8938545999909	12.0083911662274	8.37711768672959	-2.04706245321741
LV7008867199	22.6574719823742	14.6038054516614	9.21294188754961	25.3775925282448	12.4431258401211	5.27382069030869	-2.15225055369921
LV7008867175	19.6111121713655	18.9829705965675	9.75511184862106	31.3823663413958	12.5778123578404	7.07345536244472	-1.16650625978255
LV7008867151	9.84158362656157	0.449046939564729	4.10033089861884	16.0160515189702	7.60670907279075	3.06325346157741	2.78647931059714
LV7008867127	20.6616829162888	4.67275091978061	5.07447738995819	19.9116646336232	10.2474419360165	6.83970704040984	-2.98295071593389
LV7008865062	26.0789352181224	0.838918576889151	1.6855025262867	19.544969016979	8.9527686289311	8.25045376697095	-2.15606657945816
LV7008867164	28.070044904223	-6.84271751770944	-14.3969743494311	-4.94799075526881	-5.68586089159886	5.03771729491836	-2.84576225857947
LV7008867140	30.4949605877022	-5.90815521464175	-13.809356898831	-2.96982516220149	-4.07206963095866	5.64077390031852	-2.9380004718857
LV7008865064	10.0335853653222	-7.18501206118046	-15.9953099970599	-6.56952921793881	-16.0614184116275	0.982781232709281	-3.46819735736922
LV7008867357	18.5291612920914	-6.83524567859691	-16.2739251558163	-6.58387275099263	-15.0456383421359	2.9211525328971	-2.90979782076643
LV7008867333	-1.22297832323071	-7.22257755619699	-15.3696367070996	-8.57048216283191	-21.4935030845182	-2.21066460900196	-3.46819735736922
LV7008867394	1.05390529587399	-7.26472257438991	-13.7177914082593	-6.59090198540402	-11.0906502993555	-0.824304078221618	-3.38138206745912
LV7008867370	-0.501660945909838	-7.4897743394168	-17.9140804831969	-8.45749351833024	-30.2719755129379	-0.689511826728677	-3.36751506570445
LV7008867346	1.52138199840307	-6.22567994785847	-12.1874989937959	-7.62518401497745	-17.7004663241253	13.3788858334167	-3.13404215664836
LV7008867322	-1.16412734203031	-6.12337576531379	-2.80507794200346	-2.88827659282846	-0.356124039942162	3.01148353319286	-2.07144242938688
LV7008867395	-1.29477806221249	-6.03850776231802	-3.15476591000496	-2.6172345443923	-1.84911091166989	3.23202347244103	-2.84191239505859
LV7008867359	0.526774031101993	-3.87600765772409	2.07374491879434	9.32166830937106	5.41070831239225	4.5705512326136	-2.4774998556569
LV7008867335	0.212891272245405	-6.02924747218596	-3.51862243941552	5.04778196544679	3.05665547331956	4.52068940677689	-2.75558421798836
LV7008867311	-0.510772155835705	-4.84257689820328	-6.00259073457792	4.95802185461381	-1.63671562534904	0.206101880998799	-3.36385951642225
LV7008867348	10.4989372464539	-6.30020937512702	-11.971884551258	0.582688508649557	-4.00635071839759	7.27205910138759	-2.35534911363162
LV7008867324	-0.523080632300432	-7.09264184068424	-12.9292035748066	-8.17192906515311	-14.7971082642499	1.50854996228131	-3.26148341041174
LV7008867397	4.61176478441937	-6.91422146993105	-13.0102702036692	-4.22096341200104	-7.05402138778426	0.590586420572703	-3.46819735736922
LV7008867373	4.30320175521164	-6.70835681543383	-14.2704344042828	-3.263561398995	-10.8185959882142	2.0917547319512	-3.46819735736922
LV7008867337	5.85277895849472	-7.24161767957862	-14.8612676994772	-6.86476432779548	-14.0998721791366	1.71710655691306	-3.46819735736922
LV7008867313	7.6528094491225	-7.177081778624	-15.6629697536117	-7.47852788389295	-15.493703663339	0.602066594103028	-3.46819735736922
LV7008867386	-1.15408539238413	-7.49074909465601	-17.4960053844559	-8.70875551037595	-27.5803225440905	-2.52307439967747	-3.46819735736922
LV7008867362	1.47213500984984	-7.34758242558843	-17.5791244058664	-8.60782716835049	-28.3480311996857	-0.844810783429187	-3.46819735736922
LV7008867338	-0.713002134000265	-7.35819403059678	-16.7089182109352	-8.57080676062312	-27.9298316753025	-2.7461474479678	-3.46819735736922
LV7001898100	-1.84559107160677	-3.15402965279289	-0.724033802557181	19.2681911971131	9.27594236735108	-3.19086510391956	-3.18412603701936
LV7001898088	-2.24386227239777	10.2142361840753	11.2910834293206	14.9951873956687	12.9491458440791	-2.84581559448906	-0.860713948315696
LV7001898076	-3.56732823065048	45.3037137245288	17.9993741269121	15.2361869282944	15.8958737176148	25.9398779377695	-2.0133282841155
LV7001898064	-0.937147710767425	2.89281970147542	8.26824080899387	-0.695376629819032	8.63289884681386	22.9223055060355	-3.22407804562783
LV3003061546	-1.59496284580609	-3.80629363737193	-4.52009815178765	-7.01966964339152	-0.68762197988975	29.5865770187234	-3.46819735736922
LV3003061533	-1.82487702780212	-2.6115864320585	2.94988085870111	-5.65697263457679	4.40625049092818	31.8053942072157	-3.46819735736922
LV3003061518	-2.43164713833303	29.8319702677974	15.0283082921445	8.50760937076752	12.5943908733719	4.35408339261961	-0.158328623684726
LV3003061506	-1.62482583235041	-4.7372051689809	0.247585776586107	-6.61216735398711	3.54896894823283	13.9776952480383	-3.07521522894286
LV3003061492	-3.84038151637192	47.8258675553062	18.680333125009	11.3723773054505	16.0222760457081	16.6513099666654	0.790223532161355
LV3003061477	-3.53903211459452	44.9577523838947	17.8600207642455	12.0087525839808	14.474604929944	3.67251828355108	-0.879746433939429
LV3003061572	-3.13789575810195	40.6125267090781	17.3686736041407	8.04751984279748	14.2521658207715	6.51370200836088	-1.63937806905183
LV3003061559	-1.56401168646183	4.94762176668714	10.8416937572098	2.53506214348193	8.63879481222456	-0.769508700219601	11.6380463969936
LV3003061545	-2.02099835370045	13.0719803470975	12.4709009329783	1.39302424481369	9.53209739140912	-0.603785821381095	18.8273204694532
LV3003061531	-2.17258544499108	15.0804156152523	15.3656559029403	6.70910711739959	11.757123462288	0.639523216480729	19.9867110458552
LV3003061517	-1.98440399724525	13.4889653359053	14.1000875141502	11.0131344374889	11.7357159060493	-1.59021165180152	13.1494036102729
LV3003061505	-1.53920216391462	-3.37829272208305	6.7729360348398	-5.43859040084393	5.85603427672254	-2.93533107308643	3.0547063663152
LV3003061488	-1.93560335550976	11.9964976234741	14.0617170057448	4.64718225711566	10.4176129411474	-1.52436002472084	11.4601526065987
LV3003061476	-1.54199947243786	-0.019865382743362	8.99257717666995	3.24123844014795	7.80238537072765	-2.87739592827209	5.14432477879633
LV3003061571	-1.46370752671512	-1.5459692343558	6.28937271082184	-5.84148953921261	5.9599873392366	-0.664797110421378	2.90364229683744
LV3003061558	-1.53026011913932	-0.433004590489257	11.2169161949975	-1.13302949677536	8.26259487854943	-2.69157723010003	5.26808863369206
LV3003061544	-1.52952585831827	-3.7125951001441	8.51277722766628	-2.01157544200804	6.5575652861488	-3.36756357405124	0.658235884636638
LV3003061530	-1.57282999347049	-6.71585553936443	-0.989616628560534	-4.84416184715697	3.68051951533516	-3.89149593175567	-1.93528774150104
LV3003061516	-1.46149563118145	-5.74142153454553	4.01012959419956	-5.87265426706691	5.06084711703024	-3.53475127016778	-1.00855227547247
LV3003061504	-1.51102818495487	-5.54109662404983	3.26921936480246	-5.6374211128228	4.09738114096443	-3.89149593175567	-1.41310912291826
LV3003061486	-1.45830748289802	-7.12489064927175	-7.5210435111374	-8.03931750161607	-1.71162181147349	-3.18065170768192	-3.23108224787135
LV3003061475	-0.993205686014849	-6.07123558304356	2.03070336543887	-4.93246363580001	5.14662350531593	-3.29115286796943	-3.22283688363839
LV3003061570	-1.76627304397838	-4.23059675092047	7.2715606868923	3.92121620392215	8.02009504620053	-3.47488325414798	-1.30339325571688
LV3003061557	-1.42762156530595	-5.29714708598401	1.86526582439813	8.26396615871291	4.52213396571956	-3.63009803383311	-2.03750838405037
