sample	core	age_kyr	d18O	sst	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	analysis_partition	harmonization_mode
LV3003061543	ST13	62.293	4.57949	7.91259892566273	-0.455251431849092	1.00019676421887	0.0347045716983704	0.542746802727991	0.647812155864203	training	corewise_z
LV3003061529	ST13	66.015	4.56805	8.02667098129265	-0.160394696591609	1.11703071163099	0.638671313191111	0.705708342813358	0.787822275891294	training	corewise_z
LV3003061515	ST13	71.0012	4.219988	9.97144024824405	-0.438067458942526	2.07398839281218	0.745383263253312	0.829798784607638	0.788344291220355	training	corewise_z
LV3003061503	ST13	73.1472	4.20056	9.58376845577441	-0.450574635903254	1.11635825988459	-0.285124965258408	0.661630953324674	0.448789785256461	training	corewise_z
LV3003061485	ST13	75.7796	4.035756	7.95056189669746	-0.470536538349	1.71345755977966	0.526352322515215	0.867274370872993	0.725307274066103	training	corewise_z
LV3003061474	ST13	77.7798	4.056606	8.28521641432076	-0.494276758517056	0.689144646356952	-0.585072453906899	0.306094881504569	0.153391241973017	training	corewise_z
LV3003061569	ST13	81.6946	3.806108	7.84255695133946	-0.476428111695347	1.3790138569388	-0.539338228335011	0.394746571867913	0.273029749045944	training	corewise_z
LV3003061556	ST13	86.6174	4.134088	8.5404217959206	-0.494276758517056	0.75390361210583	-0.618389520415508	-0.00204252738151828	-0.348572466389996	training	corewise_z
LV3003061541	ST13	91.09	4.0255	7.62752397756975	-0.494276758517056	0.157571872482836	-0.603832767156837	0.222673606737919	0.0319480742906906	training	corewise_z
LV3003061528	ST13	95.118	3.76764	6.56201237466214	-0.494276758517056	1.53730388550063	-0.0423660618521342	0.610688397743777	0.505665052746604	training	corewise_z
LV3003061514	ST13	100.6726	3.883986	7.39288790099721	-0.446872726793019	1.84300300373429	0.624779129096496	0.813645302750828	0.589690549862317	training	corewise_z
LV3003061501	ST13	105.5872	3.93808	8.6530138730751	-0.494276758517056	0.753495775551506	-0.571319440480551	0.0393976350307261	-0.737957431157161	training	corewise_z
LV3003061489	ST13	112.6068	3.96932	11.8540635522199	-0.494276758517056	0.0543487132238902	-0.632627940457007	-1.39972302571574	-2.11540260412068	training	corewise_z
LV3003061473	ST13	117.088	3.5312	13.8380743760062	-0.494276758517056	-1.03701410861857	-0.649467391076937	-2.09601563103203	-2.1638230830232	training	corewise_z
LV3003061568	ST13	121.6354	3.209168	15.0912241071525	-0.494276758517056	-1.28498725976208	-0.632862480578236	-3.17015161832523	-2.6366266586929	training	corewise_z
LV3003061555	ST13	126.443	3.25303	13.9174660887275	-0.494276758517056	-1.28498725976208	-0.649467391076937	-2.67467807960095	-2.38057206782075	training	corewise_z
LV3003061539	ST13	130.0556	3.677784	12.6881606418456	-0.475455012842653	-0.984795304554658	-0.61158644748404	-0.562164858284578	-0.189251722484834	training	corewise_z
LV3003061527	ST13	133.7754	4.634866	11.4223768846317	-0.494276758517056	-1.28498725976208	-0.649467391076937	-3.23764867865269	-2.63553443796949	training	corewise_z
LV3003061513	ST13	138.493	4.88014	10.3255171456423	-0.438036350945815	-0.879876545523593	-0.591879996705488	-0.646543450476802	-0.407971059273044	training	corewise_z
LV3003061500	ST13	148.086	4.71344	9.56141856461617	0.590475238347795	-1.04560573282515	-0.620086586972922	-0.090934527425498	-0.179629492320228	training	corewise_z
LV7008886714	GeoB25202_R1	0.692	3.23	8.77194686709375	-0.3241437620317	1.47723983064174	0.0762280649403511	0.882599722747783	0.285375369304509	training	corewise_z
LV7008886690	GeoB25202_R1	2.324	3.21564	6.90941715213889	2.48220874395747	-0.97765425199002	-0.319457644134553	-0.865141168828487	-1.18860954130381	training	corewise_z
LV7008886751	GeoB25202_R1	7.1335	3.376675	6.13742853745238	3.43237806298602	-0.883080440499599	-0.244139863310071	0.175047528302516	0.423816836669137	training	corewise_z
LV7008886727	GeoB25202_R1	16.4375	4.806875	7.29751179212	2.06301615012205	-0.180022909368486	4.75999648535842	1.07698714563524	1.52343862886943	training	corewise_z
LV7008886703	GeoB25202_R1	27.6855	4.75	7.86592749392857	-0.296854858180382	-0.571885037067174	0.249878413395249	0.599194814343255	1.14751812812734	training	corewise_z
LV7008886776	GeoB25202_R1	36.607	4.45607	9.28041102375	-0.361146742266816	0.297985307337198	0.476870899395337	0.8405613456899	1.27627462772172	training	corewise_z
LV7008886740	GeoB25202_R1	43.105	4.4621	8.3026120984	-0.387016180084767	-0.552457580149495	-0.188210474155842	0.377339568418755	0.776210948789264	training	corewise_z
