sample	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	MEgrey
LV3003047137	-0.0265528345309878	-0.0607475708512353	-0.0331035254324067	-0.0382399216906323	-0.0263162807521098	-0.051309800429226
LV3003047136	-0.0294846378201382	0.082746663365618	-0.0334546157694725	0.0185063199013885	0.00663326974592825	-0.0439255573374475
LV3003047134	-0.0294846378201382	0.121733395426883	-0.03284186221418	-0.00165772537570287	-0.0498399984367147	-0.0480557127779812
LV3003047133	-0.0294846378201382	-0.011145283098841	-0.0344572624621079	0.0155617093638054	-0.00720270746154968	-0.0537221875698321
LV3003047107	-0.0280912398716892	3.47031070673449e-05	-0.0344572624621079	0.0240722190435078	0.00627217947537288	-0.0493320807074451
LV3003047125	-0.0294846378201382	-0.0357870729068737	-0.0344572624621079	-0.0458159584701591	-0.109093836730708	-0.0722790898290243
LV3003047124	-0.0279125731763838	-0.0650349308829091	-0.0344572624621079	-0.117542182550637	-0.111461882657321	-0.0704116777416494
LV3003047123	-0.0294846378201382	-0.0650349308829091	-0.0344572624621079	-0.14319052011317	-0.125667989187954	-0.0760004595495257
LV3003047122	-0.0294846378201382	-0.0650349308829091	-0.0344572624621079	-0.119121078156989	-0.108886684803045	-0.0760150206273263
LV3003047093	-0.0294846378201382	0.0796821074794684	-0.0344572624621079	0.0163082622883128	-0.0431360637849223	-0.0495709208501652
LV3003047106	-0.0294846378201382	-0.0328812146685869	-0.0344572624621079	-0.0345793533342429	-0.105129334984901	-0.0713056745451414
LV3003047105	-0.0294846378201382	-0.0629084011925045	-0.0344572624621079	-0.118835292389661	-0.128237452303066	-0.0789718993564172
LV3003047104	-0.0294846378201382	-0.0605350904343144	-0.0344572624621079	-0.109898494941683	-0.125521120625506	-0.076099373405453
LV3003047101	-0.0294846378201382	-0.0303454639047936	-0.0323082384271223	-0.00666824602766462	-0.066832153222493	-0.0618190775395264
LV3003047100	-0.0294846378201382	0.0638811205966416	-0.0316738611554388	0.018725248279571	-0.0444621077581952	-0.0508043764422318
LV3003047080	-0.0294846378201382	0.0164922347829287	-0.0344572624621079	0.0246151317821909	-0.0198744979626143	-0.0497798400787377
LV3003047091	-0.0294846378201382	0.0354416526404725	-0.0334867676387034	-0.0175732267325369	-0.0940933633521091	-0.0644459926606234
LV3003047090	-0.0294846378201382	-0.0508117484004995	-0.0344572624621079	-0.10452726724988	-0.124664286516919	-0.0778435245918244
LV3003047089	-0.0294846378201382	0.0065956310731548	-0.0314695883910967	-0.107120135178022	-0.129971246086089	-0.0725567582801516
LV3003047088	-0.0294846378201382	-0.0383990489391799	-0.0344572624621079	-0.130156643691152	-0.131174653875866	-0.0781552200770164
LV3003047087	-0.0294846378201382	-0.0543608350047963	-0.0344572624621079	-0.11410892802968	-0.110656029111603	-0.0717993086936307
LV3003047064	-0.0294846378201382	-0.0650349308829091	-0.0344572624621079	-0.187000331974102	-0.138559764877118	-0.0811577705228102
LV3003047079	-0.0220808618623629	0.0538134584497112	-0.0330883716900692	-0.0524443444178565	-0.0832010344241025	-0.0582473355120563
LV3003047078	-0.0294846378201382	-0.0650349308829091	-0.0344572624621079	-0.175333764107006	-0.131692976170354	-0.0797319667271528
LV3003047077	-0.0270293210516837	-0.0650349308829091	-0.0329050213717255	-0.135132876284313	-0.107698187120288	-0.0747724934325496
