sample	core	age_kyr	d18O	sst	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	harmonization_mode
LV3003047162	ST8	102.698	3.87396	7.78994871915485	-40.2037148029432	-83.4772748841926	-64.7213235304665	-378.252614781433	-176.69571687779	corewise_z
LV3003047164	ST8	43.93302	4.4786604	8.37946113303367	-44.1394192440055	-72.2504700714185	-62.734594830401	8.37094922707463	-2.48074580600021	corewise_z
LV3003047166	ST8	38.27343	4.4482802	9.0296517958074	-41.6896136981824	-29.4925785609329	-57.3672103188862	70.5996710170741	65.8010589775887	corewise_z
LV3003047167	ST8	34.67812	4.556094	8.97459148768522	-39.2702180547444	-83.4772748841926	-64.7213235304665	-35.3564924574189	4.63916801196941	corewise_z
LV3003047168	ST8	30.497	4.62	8.31168442315493	-5.05177077246228	-68.3838887751961	-19.5252409219879	49.763834181832	66.9717924772601	corewise_z
LV3003047169	ST8	26.6703333333333	4.72362666666667	7.81462622496645	-25.4144039372511	-81.1009418148134	17.1143822456153	75.2254452317076	78.4156695511914	corewise_z
LV3003061472	ST13	158.5276	4.674172	11.4782955307746	-29.0475576243264	11.3405730101793	5.18041747309653	108.517112275614	84.8042266928733	corewise_z
LV3003061473	ST13	117.088	3.5312	13.8380743760062	-36.6156829645604	-53.6614181645584	-47.0369934889527	-257.570441526056	-155.255916748495	corewise_z
LV3003061474	ST13	77.7798	4.056606	8.28521641432076	-36.6156829645604	95.8478065683527	-39.1467818776426	136.209429946724	69.7968707494374	corewise_z
LV3003061475	ST13	53.844	4.38936	6.25962485846197	-36.6156829645604	-24.3869303651965	-44.7247509996372	65.9069886930361	33.6304756389669	corewise_z
LV3003061476	ST13	37.16	4.452	9.19719729556924	-30.4560009611828	51.5065684253131	-30.3681231593191	114.467488393443	98.6032430015041	corewise_z
LV3003061477	ST13	16.726	4.84438	7.31209108888136	42.8616687113201	50.4440574211339	396.979764835935	254.410171703162	179.895576076202	corewise_z
LV3003061485	ST13	75.7796	4.035756	7.95056189669746	-34.1797889728924	184.56747335932	97.0343693341	228.204026383216	125.342573125292	corewise_z
LV3003061486	ST13	52.105	4.32365	7.61349281773178	-36.6156829645604	-69.8385844213942	-47.0369934889527	-32.9820615394669	-74.3721420919671	corewise_z
LV3003061487	ST13	152.7596	4.624808	10.6296971704429	-6.965547146894	54.7472981628732	142.230949709028	189.790244593552	138.020609649264	corewise_z
LV3003061488	ST13	35.041	4.53631	9.03212528618341	-11.8756098893659	14.0137205250879	52.5215983563464	171.003525672519	121.708057294102	corewise_z
LV3003061489	ST13	112.6068	3.96932	11.8540635522199	-36.6156829645604	40.8656981424821	-44.9736817652591	-143.426645394313	-150.553216773163	corewise_z
LV3003061492	ST13	14.437	4.37177	7.04807643625558	188.019997629482	39.1703318125338	393.685375022788	259.37092277017	180.826090656545	corewise_z
LV3003061500	ST13	148.086	4.71344	9.56141856461617	74.6866071114393	-54.4055716618082	-43.4370092063531	71.1240857032168	37.4531881911026	corewise_z
LV3003061501	ST13	105.5872	3.93808	8.6530138730751	-36.6156829645604	101.421504473503	-37.4616465083738	92.489539920634	-16.7728096450843	corewise_z
LV3003061503	ST13	73.1472	4.20056	9.58376845577441	-32.1315738390123	132.850414798769	-2.3946820740757	194.492738701498	98.4866060370336	corewise_z
LV3003061504	ST13	50.268	4.33732	8.96741444022863	-36.6156829645604	-41.4750278490417	-47.0369934889527	70.3437040747207	50.9630032011476	corewise_z
LV3003061505	ST13	32.81	4.5838	8.67840531139984	-30.0572266029372	-47.7374878328972	-23.1641807704914	103.272197266232	82.476481338151	corewise_z
LV3003061506	ST13	11.95	3.904	6.73798109507347	166.007251489757	-58.5549768614758	-33.4227898386837	62.3211151933039	30.0868820808654	corewise_z
LV3003061513	ST13	138.493	4.88014	10.3255171456423	-30.8450679524854	-40.0511316442544	-39.9808995209612	-19.9573234019945	15.276169177352	corewise_z
LV3003061514	ST13	100.6726	3.883986	7.39288790099721	-31.7517349792423	195.787900702697	109.094453034487	219.412570935127	112.1711882067	corewise_z
LV3003061515	ST13	71.0012	4.219988	9.97144024824405	-30.8482598260966	215.794430430118	123.87189022933	222.060623960254	131.464862407334	corewise_z
LV3003061516	ST13	48.537	4.45537	8.80675928823849	-36.6156829645604	-35.4203173582808	-43.0928985717511	85.7455583743537	50.978157854899	corewise_z
LV3003061517	ST13	30.678	4.62	8.34038156140496	-23.7163863233823	94.5188939286847	86.2973437715625	185.399374303288	129.231770142951	corewise_z
LV3003061518	ST13	9.804	3.49256	6.47040385254158	44.6505912148885	49.3566352407921	246.47603283917	217.206768991453	146.445223244396	corewise_z
LV3003061527	ST13	133.7754	4.634866	11.4223768846317	-36.6156829645604	-75.139323064777	-47.0369934889527	-444.719247717501	-201.069527591446	corewise_z
LV3003061528	ST13	95.118	3.76764	6.56201237466214	-36.6156829645604	169.310128576055	27.3501892245383	186.141685373832	104.010453076245	corewise_z
LV3003061529	ST13	66.015	4.56805	8.02667098129265	-2.35731034574604	132.908658421486	110.796640769531	201.718379935374	131.414163167452	corewise_z
LV3003061530	ST13	47.046	4.38322	8.66837868071839	-36.6156829645604	-24.4065537022707	-43.6690152183072	50.8142409840656	22.5803252519535	corewise_z
LV3003061531	ST13	28.445	4.7411	7.98634449117112	-6.13691562614479	43.9355993330108	66.6445275800364	176.877303378226	125.678973699766	corewise_z
LV3003061533	ST13	7.912	3.4156	6.23449698261132	354.144140399093	-53.1491759208291	-23.7285413787151	76.9054759721217	32.7151372632599	corewise_z
LV3003061539	ST13	130.0556	3.677784	12.6881606418456	-34.6844549946247	-49.1385474323208	-42.3955003200903	-6.125074213167	36.5186567163352	corewise_z
LV3003061541	ST13	91.09	4.0255	7.62752397756975	-36.6156829645604	49.8062515364288	-41.4454539152535	122.53411455875	58.0020518090137	corewise_z
LV3003061543	ST13	62.293	4.57949	7.91259892566273	-32.6114421411628	122.789222506497	36.793534221141	175.003966100159	117.816082295037	corewise_z
LV3003061544	ST13	45.122	4.33366	8.48981108255027	-32.5681937624683	14.5148193125124	-33.5733298043851	110.302174586393	87.1799152855483	corewise_z
