sample	MEblue	MEbrown	MEgreen	MEgrey	MEturquoise	MEyellow
LV7008867394	-4.22199483873379	-1.29785030089222	-3.11728667226057	-14.0698289596759	-11.1117717307955	-9.02306700689665
LV7008867370	-4.22199483873379	-1.07817171635467	-5.63292458983592	-15.7190876099787	-30.2976352706224	-13.1310385128402
LV7008867346	-3.53396812636118	13.141638088576	-4.77559999675347	-12.8521886834087	-17.6346964007474	-8.23908773418419
LV7008867322	-3.78124251699387	3.53238573312096	1.11744479054949	-9.25523041269572	0.101988185774132	1.17431838752035
LV7008867395	-3.6609479862883	3.71697826725663	0.321409867330553	-8.61111571251678	-0.87241778079177	-0.791036780593923
LV7008867359	-3.04165066821687	3.48314044017257	6.94190440931207	1.5308047188737	4.92381201816123	1.26756226403262
LV7008867335	-3.30649745053206	3.36655518172168	5.16090246038592	-5.54302630261757	2.04268229606914	-0.731558132954601
LV7008867311	-2.18815792111125	0.292537430765272	4.56099440367911	-6.70636363064492	-0.910723881155231	-3.71544017876413
LV7008867348	-3.85939709540644	5.74980472454949	1.06603139475034	-9.97019024901756	-5.51927032192462	-8.74071210889799
LV7008867324	-4.22199483873379	0.670340506667031	-5.63292458983592	-13.3814056540725	-14.6657002123535	-9.24191181723409
LV7008867397	-4.07759597249424	-0.200443465969276	-1.74286665720468	-12.8962289006252	-7.69544910348206	-8.66391780994886
LV7008867373	-4.06022970178497	1.04523619672751	-0.503161339789671	-12.7874184283991	-11.7712931083473	-10.5404228018397
LV7008867337	-4.22199483873379	1.03538186466035	-4.806823717242	-14.1658867590246	-14.4564196255689	-11.0320850987785
LV7008867313	-4.22199483873379	0.0164833827619864	-5.02052024601331	-14.587018945442	-16.1744217773688	-11.6017758294147
LV7008867386	-4.22199483873379	-2.06020593026475	-5.63292458983592	-15.6820955738822	-27.427589813083	-13.0985770006735
LV7008867362	-4.22199483873379	-1.52809592955833	-5.63292458983592	-15.5872071446331	-28.2779064811617	-13.1396310092394
LV7008867338	-4.22199483873379	-2.32320242593086	-5.63292458983592	-15.7020833650963	-26.9759649902765	-12.4965995076396
LV7001898100	0.123342305533805	-3.0253069097154	14.2277924159019	-0.314827371751488	9.52952846184654	1.76405839229296
LV7001898088	5.40462052598719	-2.36108214131802	10.537086490748	14.8859444722914	12.9433752090024	8.09327405309634
