sample	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	nondmg_total_reads	nondmg_n_taxa	core	age_kyr	state	state_label
LV3003047141	10.5336515572745	-13.8155105579643	0	-10.0165719666045	-1.69517864122227	-0.482048381721816	ko	44	43	21	35	0.992342515892892	0.644240030822578	0.907965709882489	20764	44	ST8	39.15347	2	IG-E
LV3003047142	-1.18632428567411	-13.8155105579643	6.38170243010738	-2.88960962976313	-1.54061555041674	-0.582959840238278	ko	181	158	101	125	0.947046874519098	0.612572712443446	0.818956018589763	324910	181	ST8	35.5823	4	IG-B
LV3003047143	-94.3952644963441	-13.8155105579643	6.32910035897111	-2.46068444527672	-1.29589049878977	-0.56730034579694	ko	241	209	136	162	0.983606211048907	0.616206904957301	0.857651274467584	615355	241	ST8	31.398	5	G-A
LV3003047144	-143.462647854409	-13.8155105579643	6.38712552416521	-1.92194611179586	-0.967007815589792	-0.595915012377156	ko	228	198	120	152	0.982921285588962	0.578279767126565	0.866516468617912	752340	228	ST8	27.729	5	G-A
LV3003047145	-40.9378093779475	-13.8155105579643	0	-3.31343069450015	-0.799243563713821	-0.76896106075881	ko	144	131	73	102	0.979545190117136	0.570310124943233	0.871029608806452	266441	144	ST8	23.446	3	IG-A
LV3003047146	-132.201327414167	-13.8155105579643	6.14844261203696	-4.25130308774176	-0.805857702395801	-0.731037180059771	ko	141	127	78	106	0.948340695249511	0.529598187162351	0.774706207545827	365394	141	ST8	63.2667	4	IG-B
LV3003047147	-109.889286613273	-13.8155105579643	0	-3.36153212526972	-1.09284349470895	-0.800414389841375	ko	102	96	57	81	0.935113568533819	0.548911438534762	0.794081241556973	159155	102	ST8	62.3217	4	IG-B
LV3003047148	-70.0009876880609	-13.8155105579643	0	-1.35200528764126	-1.39984402393105	-0.744189500367025	ko	109	103	54	83	0.949420285535453	0.622979089403339	0.851011466551987	234857	109	ST8	61.3767	4	IG-B
LV3003047149	-30.6384840601653	-13.8155105579643	0	-2.59264528785079	-1.45785985988292	-0.877205737497605	ko	118	89	54	75	0.78619453752097	0.52428526768613	0.699444769784204	227113	118	ST8	60.4317	4	IG-B
LV3003047150	-104.341106886809	-13.8155105579643	0	-3.39960881897702	-0.662686222548875	-1.1058266753824	ko	120	101	58	84	0.790308667217876	0.476680566292859	0.682118434366801	335021	120	ST8	59.5217933333333	4	IG-B
LV3003047152	-101.766712891898	-13.8155105579643	6.86257642770532	-3.0270737279928	-1.3915519175326	-0.696487695281026	ko	210	181	112	141	0.971679214348088	0.517354116717732	0.775360638828075	720319	210	ST8	45.00002	4	IG-B
LV3003047153	-80.2817205343759	-13.8155105579643	6.35018340254852	-2.62522683509527	-1.32831804189787	-0.633179936576561	ko	210	186	114	147	0.980543796151174	0.552794115270888	0.764550243177301	495112	210	ST8	38.71393	4	IG-B
LV3003047154	-3.5271833072097	-13.8155105579643	6.68742020289246	-3.66059410878661	-1.53761139662407	-0.597366727580787	ko	156	149	90	116	0.992494142302039	0.629640679347431	0.900026195916348	274852	156	ST8	35.13012	4	IG-B
LV3003047155	-81.1960145378295	-13.8155105579643	6.43617476866711	-2.1823017827163	-0.993550221941351	-0.540578200433693	ko	276	225	142	170	0.966183574879227	0.562079114730399	0.864900703577167	384606	276	ST8	30.9475	5	G-A
LV3003047156	-134.317119837248	-13.8155105579643	6.9402784706877	-2.11973440335505	-1.20132193905211	-0.512290569547878	ko	231	203	135	164	0.961340529966529	0.566324333055159	0.869307525955438	445764	231	ST8	27.1996666666667	5	G-A
LV3003047158	-105.916369966031	-13.8155105579643	0	-9.99644843874091	-1.30857715713032	-0.915971244922959	ko	86	81	45	67	0.951408957117143	0.495790324669814	0.746459182898669	223889	86	ST8	57.70646	4	IG-B
LV3003047159	-62.3918683964483	-13.8155105579643	6.13223733354723	-3.87678761761653	-1.56853599750911	-0.687186582249889	ko	103	98	53	77	0.993456277547972	0.598945023010471	0.804197396324976	390909	103	ST8	56.7987933333333	4	IG-B
LV3003047160	-39.0533434739735	-13.8155105579643	0	-11.6409406711929	-3.11550209343408	-0.972644433432211	ko	31	30	16	26	0.991210523125417	0.445959871491786	0.750439473843729	16497	31	ST8	55.8911266666667	2	IG-E
LV3003047161	-7.7295880882983	-13.8155105579643	0	-11.5845705175045	-2.43238861550455	-0.771672678859131	ko	27	26	15	23	0.99100488306348	0.523772809046518	0.776835432193952	11673	27	ST8	54.98346	2	IG-E
LV3003047162	0.633058593209202	-13.8155105579643	0	-2.46224279021079	-2.49231859809611	-0.857759741853923	ko	65	49	29	41	0.765273389450327	0.542702780926654	0.695810520730325	41461	65	ST8	102.698	2	IG-E
LV3003047164	-105.654411341223	-13.8155105579643	6.27004764320906	-3.89750369410369	-1.48094825770413	-0.730213689416413	ko	167	152	93	120	0.987949371572916	0.492119632185324	0.784576966915162	519392	167	ST8	43.93302	4	IG-B
LV3003047166	-36.8177233391872	-13.8155105579643	6.24186846565896	-2.57380355202777	-1.48903482846433	-0.536810174116256	ko	141	130	78	101	0.989189679317328	0.645526260112637	0.839732546151237	297771	141	ST8	38.27343	4	IG-B
LV3003047167	5.8632154586112	-13.8155105579643	6.53634499099964	-3.38175334851652	-1.56417874144796	-0.57450974762483	ko	179	166	105	131	0.958340847068441	0.600804270205936	0.834839085848932	332724	179	ST8	34.67812	4	IG-B
LV3003047168	-88.8557397902591	-13.8155105579643	6.90306321605991	-2.72571290562197	-1.19201402003123	-0.533644065874315	ko	320	274	182	217	0.982492474033445	0.624010591517329	0.897933708449572	634470	320	ST8	30.497	5	G-A
LV3003047169	-141.972818949706	-13.8155105579643	7.29461777902579	-2.239685323927	-0.859017207347123	-0.636861302646041	ko	277	238	158	193	0.973056156099272	0.527273381936932	0.8495318368184	638773	277	ST8	26.6703333333333	5	G-A
LV3003061473	235.324970498568	-13.8155105579643	0	-1.37033101228247	-2.19014017058396	-0.382858041666899	ko	92	80	64	70	0.970643654659531	0.722603082967507	0.900414937759336	99774	92	ST13	117.088	2	IG-E
LV3003061474	113.327279103705	-13.8155105579643	6.18784156356392	-1.71353591838278	-1.43007290573373	-0.312417599804503	ko	190	160	122	132	0.883463000255953	0.62291796454322	0.715509322979297	1035345	190	ST13	77.7798	1	IG-D
LV3003061475	102.244012126338	-13.8155105579643	6.67428981999774	-1.74124979443331	-0.943149993676994	-0.0194518193197549	ko	244	211	166	178	0.990261905820623	0.83726524365317	0.946386692275363	697159	244	ST13	53.844	4	IG-B
LV3003061476	173.667887438281	-13.8155105579643	6.98519698076189	-1.6577835157541	-1.23780706484139	-0.0710927557147725	ko	206	163	119	132	0.973017084598336	0.816063842058889	0.902688228782922	814886	206	ST13	37.16	5	G-A
