sample	MEpurple	MEmagenta	MEpink	MEyellow	MEblack	MEgreen	MEturquoise	MEred	MEblue	MEbrown	MEgrey
LV3003046994	-0.0250604159811383	-0.029311688671338	-0.0563218928096369	0.272061647822914	-0.046544825798168	-0.0256108183970018	-0.0193805347990794	-0.0514041366575093	-0.0308589644783969	-0.0261195661299364	0.0111868457479904
LV3003046979	-0.0174212595854933	0.0535434227899049	0.0850917576336036	0.0961998239090574	0.000952566338399809	0.0552491951920331	0.0271158092283819	0.0379822210225745	-0.0189538414869631	0.0345828008735054	-0.010893512486787
LV3003046966	-0.020476147111749	-0.0405684049332476	-0.0443515125519273	0.0369581019435974	0.0817635014921039	0.0681269264040223	0.019033538019085	0.0459904327590094	0.0344440997233397	0.153410386133665	-0.0236484354934396
LV3003046950	-0.0239625819044424	-0.0256862582885995	-0.0238419305452862	0.0242825313750956	0.040664016171655	0.083132743215336	0.0271516972424141	0.119209621997084	0.0858143710378085	0.150043900956772	-0.0300347177962103
LV3003046937	-0.030144775975999	-0.0405684049332475	-0.0378854793234385	0.00993324389525403	-0.00949822240449142	0.0849291496378266	0.0443346567740148	0.0433094838615647	0.00378065898443519	0.0652125521643023	-0.0266494493553482
LV3003047041	-0.030144775975999	-0.0169035619357117	-0.00821724916544818	0.125997814179165	-0.0171610617623757	0.0676602804434281	0.0372638506663935	0.12196454845975	0.179809557788666	0.15620788065539	-0.0136799743055311
LV3003047026	-0.030144775975999	0.0179525347748237	-0.0290124517567456	0.312752566547844	-0.0494790801280516	0.038183989380464	0.0197101880528358	0.0428130850631827	0.0561166782599018	0.059848810346996	0.0251434706522709
LV3003047009	-0.030144775975999	-0.0299852339294751	-0.0616974469906795	0.298197779288072	-0.0494790801280516	0.0049349086821959	-0.00219513510065121	-0.0268983367237234	0.0113825782460307	0.00230095850492638	0.0177386609019757
LV3003046993	0.196235535392805	0.166238965773697	0.108114209515012	0.291672609199793	-0.04418531990383	0.0297185165723587	0.00817694408767962	0.110809193433631	0.0634831182584339	0.0509368424073167	-0.0121910386872417
LV3003046978	-0.030144775975999	-0.0339237722266441	-0.0234172313528874	0.0862023781710302	-0.0114990693420936	0.065302494168622	0.0301574827489915	0.117862818286239	0.203001679259464	0.14277151497353	0.0186527542048446
LV3003046965	-0.0168833678623812	-0.00772248507503144	-0.0047710904273594	0.0826331148446447	0.0137146586641814	0.0693951566715562	0.0285965873574659	0.136264821801851	0.273748719689919	0.17386800416813	-0.0115365177852975
LV3003046949	-0.0275026595312346	-0.0335810695893218	-0.0169520890578411	0.0194062602548979	-0.00543402481479155	0.0719177209159445	0.0294909707922585	0.121877001482212	0.211332007512274	0.16711283616035	-0.0115310503349313
LV3003046936	-0.030144775975999	-0.0218419932576676	-0.018246064648546	0.0534254382967122	-0.000397321309010431	0.0690709156242442	0.0312111873616902	0.135370862660574	0.250341532733864	0.17128709474564	-0.0185142800733375
LV3003047145	-0.030144775975999	-0.0303004894990603	-0.0477760622722164	0.194760709086545	-0.0494790801280516	0.0624663700503051	0.0295533711641618	0.0432950880110121	0.0146963334936628	0.0539118758690243	0.0103017212401957
