from	to	w
S__3300027791_27	S__3300027844_79	0.118655636289083
S__3300027801_21	S__3300027844_79	0.170758359197006
S__3300027801_7	S__3300027844_79	0.124702864124301
S__3300027810_12	S__3300027844_79	0.117656196098147
S__3300027827_16	S__3300027844_79	0.133937046037979
S__3300027838_66	S__3300027844_79	0.176639969817894
S__3300027838_7	S__3300027844_79	0.198969039000821
S__3300027844_72	S__3300027844_79	0.165038456441472
S__3300006902_27	S__3300027844_92	0.125196242248848
S__3300020477_98	S__3300027844_92	0.157048117214055
S__3300025673_14	S__3300027844_92	0.195734399864657
S__3300025890_25	S__3300027844_92	0.223574927430741
S__3300027685_19	S__3300027844_92	0.147852974487425
S__3300027685_28	S__3300027844_92	0.19108510284572
S__3300027838_49	S__3300027844_92	0.127952699380861
S__3300027839_78	S__3300027844_92	0.257960568518476
S__3300027844_59	S__3300027844_92	0.142459448964466
S__3300027839_78	S__3300027847_10	0.108534206969133
S__3300027844_92	S__3300027847_10	0.151030571176257
S__3300000179_4	S__3300027847_13	0.15785687465862
S__3300001683_21	S__3300027847_13	0.136989743165817
S__3300001683_28	S__3300027847_13	0.188655844035385
S__3300001683_31	S__3300027847_13	0.173741158100119
S__3300001683_4	S__3300027847_13	0.21970681874495
S__3300006311_3	S__3300027847_13	0.121832062912859
S__3300020187_18	S__3300027847_13	0.144850481093902
S__3300020263_16	S__3300027847_13	0.140616394087034
S__3300020303_5	S__3300027847_13	0.138397564138131
S__3300020389_13	S__3300027847_13	0.108071198631264
S__3300020389_17	S__3300027847_13	0.205429585272465
S__3300020389_47	S__3300027847_13	0.211081642886024
S__3300022920_20	S__3300027847_13	0.158489983242849
S__3300024058_15	S__3300027847_13	0.133913118113113
S__3300024516_18	S__3300027847_13	0.163982253592831
S__3300024516_24	S__3300027847_13	0.121766032184622
S__3300024516_26	S__3300027847_13	0.185371497955906
S__3300024516_38	S__3300027847_13	0.119569387090601
S__3300025276_12	S__3300027847_13	0.135227900387866
S__3300025623_36	S__3300027847_13	0.121458206432533
S__3300025690_38	S__3300027847_13	0.13343076512922
S__3300025892_34	S__3300027847_13	0.150434054200103
S__3300025894_53	S__3300027847_13	0.164545019490506
S__3300026087_14	S__3300027847_13	0.11985077161269
S__3300026108_2	S__3300027847_13	0.158098637440252
S__3300026108_4	S__3300027847_13	0.132420059047082
S__3300026119_8	S__3300027847_13	0.165281746442438
S__3300026253_28	S__3300027847_13	0.110858349058988
S__3300026253_8	S__3300027847_13	0.148946987776162
S__3300026264_29	S__3300027847_13	0.144775869171594
S__3300026264_34	S__3300027847_13	0.109187102226182
S__3300026267_11	S__3300027847_13	0.166343643640978
S__3300027668_18	S__3300027847_13	0.202259773928231
S__3300027685_11	S__3300027847_13	0.134943637336948
S__3300027685_16	S__3300027847_13	0.166521147180944
S__3300027685_31	S__3300027847_13	0.201329185442759
S__3300027685_36	S__3300027847_13	0.196366798685125
S__3300027687_20	S__3300027847_13	0.12384929151281
S__3300027687_7	S__3300027847_13	0.145127809832545
S__3300027700_13	S__3300027847_13	0.15595035158765
S__3300027752_17	S__3300027847_13	0.155382646808621
S__3300027771_26	S__3300027847_13	0.198904048139377
S__3300027779_22	S__3300027847_13	0.163242866599728
S__3300027779_26	S__3300027847_13	0.15231567837316
S__3300027779_27	S__3300027847_13	0.17391577539878
S__3300027780_12	S__3300027847_13	0.202831794808745
S__3300027788_10	S__3300027847_13	0.186623852721415
S__3300027791_27	S__3300027847_13	0.147076174018839
S__3300027801_21	S__3300027847_13	0.209022866580794
S__3300027801_7	S__3300027847_13	0.169394616307847
S__3300027810_12	S__3300027847_13	0.154548072687689
S__3300027827_16	S__3300027847_13	0.175494292145213
S__3300027838_66	S__3300027847_13	0.21755088008905
S__3300027838_7	S__3300027847_13	0.23108873583556
S__3300027839_47	S__3300027847_13	0.11143707725742
S__3300027839_55	S__3300027847_13	0.110793385590153
S__3300027844_42	S__3300027847_13	0.177610505476519
S__3300027844_60	S__3300027847_13	0.1215954736698
S__3300027844_72	S__3300027847_13	0.224654456846797
S__3300027844_79	S__3300027847_13	0.208474904222043
S__3300027839_78	S__3300027847_31	0.173159194300305
S__3300027844_92	S__3300027847_31	0.244433205015139
S__3300001683_4	S__3300027847_4	0.127134798159326
S__3300020389_47	S__3300027847_4	0.109616099715418
S__3300027801_21	S__3300027847_4	0.122242380350996
S__3300027838_66	S__3300027847_4	0.116854038236291
S__3300027838_7	S__3300027847_4	0.138583037657282
S__3300027847_13	S__3300027847_4	0.144601109830469
S__3300027839_78	S__3300027847_53	0.153287607710402
S__3300027844_92	S__3300027847_53	0.205617545682776
S__3300027847_31	S__3300027847_53	0.112875547682213
S__3300027844_59	S__3300027847_58	0.14751299577826
S__3300027844_92	S__3300027847_58	0.114118765337979
S__3300001683_28	S__3300027847_80	0.108888936938828
S__3300001683_4	S__3300027847_80	0.113389594290484
S__3300020389_17	S__3300027847_80	0.112595296728731
S__3300020389_47	S__3300027847_80	0.135257082212479
S__3300027685_31	S__3300027847_80	0.109817178296535
S__3300027779_22	S__3300027847_80	0.119853333286024
S__3300027801_21	S__3300027847_80	0.136550099218133
S__3300027838_66	S__3300027847_80	0.141224200706844
S__3300027838_7	S__3300027847_80	0.148943281885861
S__3300027844_72	S__3300027847_80	0.124833668039848
S__3300027844_79	S__3300027847_80	0.110468774147791
S__3300027847_13	S__3300027847_80	0.158482654906181
S__3300001683_28	S__3300027849_41	0.110573401057961
S__3300001683_31	S__3300027849_41	0.116383549833435
S__3300001683_4	S__3300027849_41	0.131097147096064
S__3300020389_17	S__3300027849_41	0.115151538618752
S__3300020389_47	S__3300027849_41	0.175779203903133
S__3300022920_20	S__3300027849_41	0.14149910191897
S__3300024516_26	S__3300027849_41	0.111831481133969
S__3300025894_53	S__3300027849_41	0.108310387338095
S__3300027668_18	S__3300027849_41	0.134197311988683
S__3300027685_31	S__3300027849_41	0.142948838218042
S__3300027685_36	S__3300027849_41	0.127846777541534
S__3300027687_7	S__3300027849_41	0.115518052291092
S__3300027771_26	S__3300027849_41	0.111074623300862
S__3300027779_26	S__3300027849_41	0.134074164905749
S__3300027779_27	S__3300027849_41	0.148441668708142
S__3300027780_12	S__3300027849_41	0.130775817998727
S__3300027788_10	S__3300027849_41	0.139702545764747
S__3300027801_21	S__3300027849_41	0.136902452441118
