state	sample	core	age_kyr	state_label	index	value	state_label_source
1	LV3003061514	ST13	100.6726	state_03	MII	-2.90861348702743	IG-D
1	LV3003061515	ST13	71.0012	state_03	MII	-3.14331920390242	IG-D
1	LV3003061528	ST13	95.118	state_03	MII	-2.96452667462008	IG-D
1	LV3003061529	ST13	66.015	state_03	MII	-2.79037965878138	IG-D
1	LV3003061541	ST13	91.09	state_03	MII	-2.18745113790502	IG-D
1	LV3003061543	ST13	62.293	state_03	MII	-3.06653893331648	IG-D
1	LV3003061556	ST13	86.6174	state_03	MII	-2.66657099235614	IG-D
1	LV3003061557	ST13	58.082	state_03	MII	-3.19300811555174	IG-D
1	LV3003061569	ST13	81.6946	state_03	MII	-2.99789043687046	IG-D
1	LV7001898088	ST13	6.031	state_03	MII	-2.55243436324969	IG-D
1	LV7001898100	ST13	5.659	state_03	MII	-2.59546736674347	IG-D
1	LV7008886229	GeoB25202_R2	68.149	state_03	MII	-2.19718478995995	IG-D
1	LV7008886695	GeoB25202_R1	95.3875	state_03	MII	-2.07756221030244	IG-D
1	LV7008886706	GeoB25202_R1	79.0255	state_03	MII	-2.59784606993015	IG-D
1	LV7008886707	GeoB25202_R2	95.3875	state_03	MII	-2.17541464044231	IG-D
1	LV7008886708	GeoB25202_R1	109.6305	state_03	MII	-1.99636055036876	IG-D
1	LV7008886714	GeoB25202_R1	0.692	state_03	MII	-1.93247531938739	IG-D
1	LV7008886718	GeoB25202_R2	79.0255	state_03	MII	-2.45821382075872	IG-D
1	LV7008886719	GeoB25202_R1	87.2825	state_03	MII	-2.45727576215755	IG-D
1	LV7008886720	GeoB25202_R2	109.6305	state_03	MII	-2.11540975652252	IG-D
1	LV7008886726	GeoB25202_R2	0.692	state_03	MII	-2.42758218057498	IG-D
1	LV7008886730	GeoB25202_R1	75.351	state_03	MII	-2.34321048479604	IG-D
1	LV7008886731	GeoB25202_R2	87.2825	state_03	MII	-2.0056536914751	IG-D
1	LV7008886742	GeoB25202_R2	75.351	state_03	MII	-2.45342301706957	IG-D
1	LV7008886743	GeoB25202_R1	81.6705	state_03	MII	-1.99415353655817	IG-D
1	LV7008886744	GeoB25202_R1	105.5785	state_03	MII	-1.98324282001802	IG-D
