state	state_label	module	index	n_rows	n_samples	mean	median	sd	iqr	cv	centered_mean	centered_median	specialization_abs_centered_mean	mean_module_abundance	state_label_source
3	state_01	grey	DCI	32	32	-4.33579143312406	-11.5649345111558	10.2440816862188	15.3311088142699	2.36267861224996	-1.15062689199429	-7.75262063412671	8.35641136023414	0.00893977132175412	IG-A
3	state_01	leiden1	DCI	32	32	-2.52187379756993	-1.71539574359337	2.92099601599622	0.75583575307713	1.15826415215975	0.663290743559844	1.47249196864927	2.58559909888392	0.0473297561216894	IG-A
3	state_01	leiden2	DCI	32	32	-0.582892637536864	-0.64893569198392	2.94860845609977	0.967626527112347	5.05857900103138	2.60227190359291	2.69903845319369	3.26443115617381	0.150772492221766	IG-A
3	state_01	leiden3	DCI	32	32	-3.3852045332216	-1.69261483817733	4.18030731987755	1.07923390628383	1.23487584837283	-0.200039992091826	1.4632742714218	3.02552114967094	0.0373329606727961	IG-A
3	state_01	leiden4	DCI	32	32	-2.19163858770568	-1.95348201729748	0.735558479424573	1.19848981485529	0.335620336104136	0.993525953424093	1.65312315619408	2.25748601033652	0.676090137927385	IG-A
3	state_01	leiden5	DCI	32	32	-3.05058193767892	-2.39772656090486	2.92131093410007	1.40504361717355	0.957624149680368	0.134582603450847	0.577558954451625	2.38143579991468	0.0770031621867931	IG-A
3	state_01	leiden6	DCI	24	24	-7.77026707953604	-3.85320618472272	6.44862689257456	12.7428174807083	0.829910584355308	-4.05733909325543	-0.562605550407142	5.36056972245273	0.00335668997728599	IG-A
3	state_01	grey	MII	32	32	-2.8640923348601	-1.65718359919302	3.60523918026449	0.642815717251677	1.25877198035258	-0.523014615583641	0.516198329077674	1.45417167209872	0.00893977132175412	IG-A
3	state_01	leiden1	MII	32	32	-2.36501007926687	-2.12099504702147	2.43176515703253	0.65199249215765	1.02822612823128	-0.0239323599904095	0.0186889160690757	0.801280923251361	0.0473297561216894	IG-A
3	state_01	leiden2	MII	32	32	-2.6188076446285	-2.56684210611084	0.312970458688534	0.459611001778685	0.11950876168033	-0.277729925352041	-0.471363530107808	0.594181329533068	0.150772492221766	IG-A
3	state_01	leiden3	MII	32	32	-2.36611497450511	-2.76628253656608	1.3329802851174	0.934633391787773	0.56336243144575	-0.0250372552286489	-0.658846458843486	1.09461983158782	0.0373329606727961	IG-A
3	state_01	leiden4	MII	32	32	-2.44489951050554	-2.67708811907737	0.571572496858507	0.593121785651125	0.233781590778069	-0.103821791229085	-0.421198422261879	0.723430885882313	0.676090137927385	IG-A
3	state_01	leiden5	MII	32	32	-1.95516245837378	-1.83354149798715	0.526824786365628	0.75082079021466	0.269453202780816	0.385915260902677	0.316416540573318	0.659007998074871	0.0770031621867931	IG-A
3	state_01	leiden6	MII	24	24	-1.59003590283556	-0.944390736531613	2.90194031322063	0.744539703333875	1.82507848284779	0.756827581974862	1.20558350096118	1.66003974003042	0.00335668997728599	IG-A
3	state_01	grey	SRPI	32	32	-1.36863206806283	-1.08694767467799	2.3025356963588	0.970080024861302	1.68236281327079	-0.33060467929111	-0.100248137354773	0.959873414292925	0.00893977132175412	IG-A
3	state_01	leiden1	SRPI	32	32	-0.59150057407823	-0.573313991550752	0.569840712815047	0.842128786718815	0.963381504241248	0.44652681469349	0.208028029074904	0.565669056126965	0.0473297561216894	IG-A
3	state_01	leiden2	SRPI	32	32	-0.928649082403792	-0.90454849878379	0.158224371095118	0.188051460738975	0.170381228058243	0.109378306367928	-0.0182606017231184	0.483235887977193	0.150772492221766	IG-A
3	state_01	leiden3	SRPI	32	32	-0.595314730500967	-0.52780673535936	0.569551447756215	0.688157537947405	0.956723256750137	0.442712658270753	0.353645312460989	0.581983020099776	0.0373329606727961	IG-A
3	state_01	leiden4	SRPI	32	32	-0.817250705592982	-0.821109404203749	0.158214571564237	0.18897021753107	0.19359367998274	0.220776683178738	0.0699921267111065	0.429281640167043	0.676090137927385	IG-A
