taxon	exclusion_reason	exclusion_detail	phylum	functional_group	display_category	ecological_role	signal_source	confidence_score	n_samples	total_reads
S__GCA_016199495.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	56	140124
S__GCA_009392435.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	220	139331
S__3300027844_32	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	261	138708
S__GCA_002335045.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Proteobacteria	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	156	119086
S__GCA_019057955.1	extra_phylum	p__Asgardarchaeota	p__Asgardarchaeota	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	0.99	21	113708
S__GCA_002816585.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	200	112607
S__GCA_018829775.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	59	111461
S__GCA_004376205.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	56	111325
S__GCA_905479195.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Proteobacteria	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	270	110683
S__3300025775_21	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	101	108184
S__GCA_019057975.1	extra_phylum	p__Asgardarchaeota	p__Asgardarchaeota	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	0.99	52	102756
S__3300027839_55	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	228	98392
S__3300027844_42	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	277	97353
S__3300027839_47	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	251	94295
S__3300028168_6	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Sediment_heterotroph	Diagenetic	Sediment_resident	benthic_resident	0.85	54	93396
